"Time","pH3","pH3_CPCa","pH3_CPCi","pH2A_Sgo1_pH3_CPCa","pH2A_Sgo1_pH3_CPCi","Total"
0,0,0,0,0,0,0
1,0.339660160030429,0,0,0,0,0.339660160030429
2,0.822090097243652,0,0,0,0,0.822090097243652
3,1.11122611300577,0,0,0,0,1.11122611300577
4,1.22015641194489,0,0,0,0,1.22015641194489
5,1.23721754664353,0,0,0,0,1.23721754664353
6,1.2177618277532,0,0,0,0,1.2177618277532
7,1.18472329509036,0,0,0,0,1.18472329509036
8,1.14657131879547,0,0,0,0,1.14657131879547
9,1.10670756025515,0,0,0,0,1.10670756025515
10,1.06676784904051,0,0,0,0,1.06676784904051
