"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa","pH2A_Sgo1_CPCi","pH2A_Sgo1_pH3_CPCi","pH2A_Sgo1_pH3_CPCa","Total"
0,0,92.6307692307692,0,0,0,0,92.6307692307692
1,0,91.7829071234529,0,0,0,0,91.7829071234529
2,0,91.5573880444044,0,0,0,0,91.5573880444044
3,0,91.4754139438002,0,0,0,0,91.4754139438002
4,0,91.4439469165662,0,0,0,0,91.4439469165662
5,0,91.4311384901945,0,0,0,0,91.4311384901945
6,0,91.425718021677,0,0,0,0,91.425718021677
7,0,91.4233794484523,0,0,0,0,91.4233794484523
8,0,91.4223619758275,0,0,0,0,91.4223619758275
9,0,91.4219179158162,0,0,0,0,91.4219179158162
10,0,91.4217237947382,0,0,0,0,91.4217237947382
