"Time","pH3","pH3_CPCa","pH3_CPCi","pH2A_Sgo1_pH3_CPCa","pH2A_Sgo1_pH3_CPCi","Total"
0,0,0,0,0,0,0
1,0.416618194105158,0,0,0,0,0.416618194105158
2,0.91684359021361,0,0,0,0,0.91684359021361
3,1.16890141732472,0,0,0,0,1.16890141732472
4,1.24068133604886,0,0,0,0,1.24068133604886
5,1.23031612054746,0,0,0,0,1.23031612054746
6,1.19048977541573,0,0,0,0,1.19048977541573
7,1.14175168981514,0,0,0,0,1.14175168981514
8,1.09129387614428,0,0,0,0,1.09129387614428
9,1.04175074399915,0,0,0,0,1.04175074399915
10,0.994214085660258,0,0,0,0,0.994214085660258
