"Time","CPCa","pH2A_Sgo1_CPCa","H3_CPCa","pH3_CPCa","Sgo1_CPCa","Sum_Active"
0,0,0,0,0,0,0
1,1.7106030853575e-06,0.0036489102798511,0.00488597142813783,1.05070959551688e-10,1.21304220087809e-06,0.00853780545834613
2,7.14672198799579e-05,0.399142556915532,0.486156245702924,1.19942556991501e-06,5.47735760751523e-05,0.885426242839981
3,0.000898324962095351,2.56162024608715,3.32519520838166,6.51360766201434e-05,0.000622642746514959,5.88840155825404
4,0.00247267862493601,2.85885902268476,3.58674683863504,0.000229581763011069,0.00129502081320677,6.44960314252095
5,0.00289086347059271,3.04155040328421,3.61508220336671,0.000498123500474169,0.00156251937209086,6.66158411299407
6,0.00289650402962625,3.20270819930639,3.59697899916735,0.00084955435653306,0.00171143726410525,6.805144694124
7,0.00288913456705418,3.36159710902641,3.58173370365585,0.00125377092137237,0.00184470527914138,6.94931842344984
8,0.00288379901839752,3.51526228825492,3.57084359843411,0.00168158815205821,0.00196596445456942,7.09263723831405
9,0.00288039637629941,3.66084029149893,3.56354397998777,0.00210763173939991,0.00207586824786478,7.23144816785026
10,0.00287846646986871,3.79655312134806,3.55907429720053,0.00251135880594376,0.00217525386952346,7.36319249769393
11,0.002877620787855,3.92149245521118,3.55676604966466,0.00287748580673019,0.00226501602793487,7.48627862749836
12,0.00287755285870928,4.03540930030001,3.55605840552296,0.00319608922350948,0.00234604218072344,7.59988739008592
13,0.00287802621218455,4.13847813077328,3.55650040211588,0.00346183984873692,0.00241915627840277,7.70373755522848
14,0.00287886545210748,4.23116151360483,3.5577357537317,0.00367320021925015,0.00248513249881098,7.7979344655067
15,0.00287993580494479,4.31409474211272,3.55949333202207,0.00383154403712729,0.00254467693524838,7.88284423091211
16,0.00288114019007712,4.38802376246726,3.56156763004515,0.00394035478654038,0.00259845290593949,7.95901134039497
17,0.00288240810803915,4.45366101699997,3.56381056397777,0.00400399290729535,0.00264701629084402,8.02700499828392
18,0.00288368848075957,4.51180189531563,3.56611024118548,0.00402799785373796,0.00269093016601406,8.08751475300162
19,0.00288494942340206,4.56316398473225,3.56839143327067,0.00401782083196472,0.00273066858999787,8.14118885684829
20,0.00288616683978178,4.60846055677384,3.57060356493042,0.00397894258863186,0.00276667704448517,8.18869590817716
21,0.00288738489986483,4.64825636882547,3.57273232657425,0.00391497281650354,0.00279930562969415,8.23059035874578
22,0.00288883853441789,4.68529728751876,3.57478162901343,0.00384121597008,0.00283064489701165,8.26963961593371
23,0.00289037339494321,4.72233546763989,3.5768306967157,0.00376744961368725,0.00286200955725341,8.30868599692147
24,0.00289190825607774,4.75937364946705,3.57887976451783,0.00369368326345119,0.00289337421888734,8.34773237972329
25,0.00289344311697211,4.79641183061368,3.58092883226933,0.00361991691083112,0.00292473888022438,8.38677876179105
26,0.00289497797597402,4.83345000631114,3.58297789953084,0.00354615053962545,0.00295610354118724,8.42582513789877
27,0.00289651283045343,4.87048816875101,3.58502696539773,0.00347238412427584,0.00298746820595741,8.46487149930942
28,0.00289804767661907,4.90752630636366,3.58707602827988,0.00339861762801778,0.00301883288642259,8.5039178328346
29,0.00289958250932062,4.94456440301797,3.58912508563148,0.00332485100081351,0.00305019760650307,8.54296411976609
30,0.0028965578855734,4.93945544421102,3.58937501919802,0.00315303962688126,0.00305788984187663,8.53793795076337
31,0.0028969577431792,4.93445826134797,3.59004694911159,0.00299229567353299,0.00306337813549497,8.53345784201177
32,0.00289727591745103,4.9300146175344,3.59056657046215,0.00284133558398336,0.0030689541286295,8.52938875362662
33,0.00289752561753091,4.92600016102439,3.59096726336926,0.00269979040950744,0.00307446332605109,8.52563920374674
34,0.00289772331634487,4.92230300644438,3.59127380016064,0.00256712664193698,0.00307985189309978,8.5221215084564
35,0.0028978784458477,4.91883307949452,3.59150538332246,0.00244277266034366,0.00308509550233832,8.51876420942551
36,0.00289800122810973,4.91552868518106,3.59167524762287,0.00232624626040326,0.00309018350432327,8.51551836379677
37,0.00289809139526754,4.91233463724587,3.59179636553545,0.00221685660115424,0.00309511590092182,8.51234106667867
38,0.00289816170979797,4.90921832577817,3.59187754028799,0.00211403658596257,0.00309989403142148,8.50920795839335
39,0.00289821692132765,4.90613667519108,3.59193706999911,0.00201516109496954,0.00310457381803796,8.50609169702452
40,0.00289827183978849,4.90305544396519,3.59199631574692,0.00191633854839117,0.0031092510759811,8.50297562117627
41,0.00289830454395471,4.89999803692028,3.59199668094566,0.00182926055502498,0.00311367235644283,8.49983595532136
42,0.00289832191209514,4.89696493495184,3.5919651993816,0.00174994155889657,0.00311776575123754,8.49669616355567
43,0.002898352206393,4.89393675720792,3.5919296641979,0.00167195280229436,0.00312163463407589,8.49355836104859
44,0.00289838240282219,4.89090857686862,3.59189412832585,0.00159396424425873,0.00312550412281933,8.49042055596437
45,0.00289831693456183,4.88785824530173,3.59181999057255,0.00152919246822901,0.00312996621534083,8.48723571149241
46,0.00289830164575705,4.8848309323168,3.59174084922941,0.00146774588094971,0.00313365011874621,8.48407147919167
47,0.0028982888666504,4.88182137086835,3.5916571068232,0.00140934977670967,0.00313724351424438,8.48092335984915
48,0.00289826401954332,4.8788211953237,3.59157055513145,0.00135285266790683,0.00314078923083884,8.47778365637344
49,0.00289824094088609,4.87584450652372,3.59147798621749,0.00130113330617625,0.00314417675569244,8.47466604374396
50,0.00289821634558715,4.87289076176453,3.59138293314643,0.00125209699394378,0.00314748330891118,8.4715714915594
