"Time","pH3","pH3_CPCa","pH3_CPCi","Total"
0,0,0,0,0
1,1.01482515148901e-05,1.05070959551688e-10,8.86240232059165e-08,1.02369806090556e-05
2,0.000387432620365943,1.19942556991501e-06,8.47494918004489e-06,0.000397106995115903
3,0.00143686878839235,6.51360766201434e-05,1.3508612530909e-05,0.0015155134775434
4,0.00242198548403915,0.000229581763011069,3.02211006369597e-05,0.00268178834768718
5,0.0028794290226379,0.000498123500474169,6.15686277349701e-05,0.00343912115084704
6,0.00291613948596356,0.00084955435653306,0.000102198266387625,0.00386789210888425
7,0.00275538408843842,0.00125377092137237,0.000147255680261827,0.00415641069007261
8,0.00253236341863918,0.00168158815205821,0.000193143852196518,0.0044070954228939
9,0.00231023716170963,0.00210763173939991,0.000237121266963016,0.00465499016807256
10,0.00211646184768139,0.00251135880594376,0.000277224126349711,0.00490504477997486
11,0.00195952446267769,0.00287748580673019,0.000312191797205874,0.00514920206661375
12,0.00183724601482131,0.00319608922350948,0.00034137963209664,0.00537471487042742
13,0.00174273847739451,0.00346183984873692,0.000364609759780401,0.00556918808591183
14,0.00166807963707885,0.00367320021925015,0.000382047554158891,0.0057233274104879
15,0.00160636653729808,0.00383154403712729,0.000394091780460829,0.00583200235488619
16,0.00155231122725578,0.00394035478654038,0.000401287591322729,0.00589395360511888
17,0.00150231278234041,0.00400399290729535,0.000404210087459652,0.00591051577709541
18,0.00145402533557372,0.00402799785373796,0.000403498555813667,0.00588552174512535
19,0.00140616464641753,0.00401782083196472,0.000399743085633556,0.0058237285640158
20,0.00135809644100637,0.00397894258863186,0.00039350263453574,0.00573054166417397
21,0.00130967649424904,0.00391497281650354,0.000385115397202874,0.00560976470795546
22,0.00126069195452882,0.00384121597008,0.000376182916162321,0.00547809084077114
23,0.00121170728836801,0.00376744961368725,0.000367248124730025,0.00534640502678528
24,0.00116272261971959,0.00369368326345119,0.000358313334023999,0.00521471921719477
25,0.00111373795221177,0.00361991691083112,0.000349378543112157,0.00508303340615504
26,0.00106475329491162,0.00354615053962545,0.000340443751202962,0.00495134758574004
27,0.00101576866482345,0.00347238412427584,0.000331508958401517,0.00481966174750082
28,0.000966784089761083,0.00339861762801778,0.000322574166717968,0.00468797588449683
29,0.000917799611630143,0.00332485100081351,0.00031363938135206,0.00455628999379571
30,0.00090133754063503,0.00315303962688126,0.000298636806701967,0.00435301397421826
31,0.000873931938868619,0.00299229567353299,0.000283546118414675,0.00414977373081629
32,0.000840478599615593,0.00284133558398336,0.000269356167082007,0.00395117035068096
33,0.00080417683283717,0.00269979040950744,0.000256037888970633,0.00376000513131524
34,0.000767085294387341,0.00256712664193698,0.000243545665335451,0.00357775760165978
35,0.000730557184184682,0.00244277266034366,0.000231829027969228,0.00340515887249757
36,0.000695354789858716,0.00232624626040326,0.000220844898526221,0.00324244594878819
37,0.000661892556388158,0.00221685660115424,0.000210529737954906,0.00308927889549731
38,0.000630263410113995,0.00211403658596257,0.000200831185154493,0.00294513118123106
39,0.000599817869246849,0.00201516109496954,0.000191503180418038,0.00280648214463443
40,0.000569388471461979,0.00191633854839117,0.000182180138728173,0.00266790715858132
41,0.000542669335098664,0.00182926055502498,0.000173952318588866,0.00254588220871251
42,0.000518437994116449,0.00174994155889657,0.000166463565467336,0.00243484311848035
43,0.000494633578751364,0.00167195280229436,0.000159102146322797,0.00232568852736852
44,0.000470829228947021,0.00159396424425873,0.000151740743695095,0.00221653421690085
45,0.000451277337484672,0.00152919246822901,0.000145612954583023,0.0021260827602967
46,0.000432719363866964,0.00146774588094971,0.000139810110435095,0.00204027535525176
47,0.000415082649139143,0.00140934977670967,0.000134293637894562,0.00195872606374337
48,0.000398022735807274,0.00135285266790683,0.000128954490798296,0.0018798298945124
49,0.000382429672143426,0.00130113330617625,0.000124066564155853,0.00180762954247553
50,0.000367660249257477,0.00125209699394378,0.000119431363277856,0.00173918860647912
