"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa"
0,0,0,0
1,19.5139016514945,20.9191293714897,0.000242661545559164
2,46.7118833817029,20.3434344096498,0.00785631083038203
3,64.1351775605119,22.3115836860084,0.219222654435978
4,70.290908900286,25.0008051259991,0.666941500297383
5,72.2799287411639,27.5575888917755,0.850737828294874
6,72.9577645913433,29.7575274959329,1.00675284544697
7,73.2011180001099,31.583638138604,1.1515922336658
8,73.2917702491995,33.0773339378138,1.28392226602406
9,73.323493383306,34.2919182233989,1.4032427515525
10,73.3273141586352,35.277478489126,1.50989698648929
11,73.3144848974228,36.0768716472734,1.60466145339139
12,73.2900988495232,36.7256292012349,1.68852882922309
13,73.2571815589875,37.2525135623638,1.76254307345301
14,73.2179242645234,37.6809343967879,1.82774482577991
15,73.1740288066796,38.0296906842591,1.88511853312672
16,73.1268681210384,38.314140645457,1.93559208539483
17,73.0775042010282,38.5461864941255,1.97995554427593
18,73.0268245236341,38.7360729287246,2.01898458945741
19,72.9754891197891,38.8916669196935,2.05332865532403
20,72.9240047924107,39.0194839761904,2.08358599410906
21,72.8725681053973,39.1232763062216,2.11017873954094
22,72.8216437815415,39.2181375870384,2.13503661536517
23,72.7707197487975,39.3129883640355,2.15989276660211
24,72.7197957152909,39.4078391472288,2.1847489188304
25,72.6688716821471,39.5026899280065,2.20960507067715
26,72.6179476523184,39.5975406898569,2.23446121957608
27,72.5670236314162,39.6923914065964,2.25931736155563
28,72.5160996286137,39.7872420404946,2.28417349103617
29,72.4651756576061,39.8820925402513,2.3090296006325
30,72.4348228674343,39.8552456268416,2.31083724022819
31,72.3969494941117,39.8318382383377,2.31171760949481
32,72.3564288628352,39.8117299402563,2.31244271205232
33,72.3158715852093,39.7949245895746,2.31308805421294
34,72.2761791533719,39.7812943088107,2.3137006731829
35,72.2376718519245,39.770621211241,2.31430914241064
36,72.2004406846378,39.7626731376654,2.31492785344663
37,72.1644658067213,39.7571097569965,2.31556429542568
38,72.1296886484316,39.7536410209109,2.31621963715413
39,72.0956485033296,39.7513710920014,2.3168869727305
40,72.0616183073764,39.7491169396763,2.31755446471856
41,72.0298583399801,39.7503432649845,2.31826973975764
42,71.999549962278,39.7535451290772,2.31900321751653
43,71.9694615233824,39.7570181053816,2.31973727581348
44,71.9393731331257,39.7604911127051,2.3204713335138
45,71.9117912918289,39.7666233329554,2.32122279960505
46,71.8848514548624,39.7731104635408,2.3219621757764
47,71.858502817786,39.7799070360699,2.32269121708358
48,71.8325283363313,39.7868936366929,2.32341420174966
49,71.8075393100428,39.7943145037456,2.32412129197263
50,71.7831139192002,39.8019057302941,2.32481616469343
