"Time","pH3","pH3_CPCa"
0,0,0
1,1.01482515148901e-05,1.05070959551688e-10
2,0.000387432620365943,1.19942556991501e-06
3,0.00143686878839235,6.51360766201434e-05
4,0.00242198548403915,0.000229581763011069
5,0.0028794290226379,0.000498123500474169
6,0.00291613948596356,0.00084955435653306
7,0.00275538408843842,0.00125377092137237
8,0.00253236341863918,0.00168158815205821
9,0.00231023716170963,0.00210763173939991
10,0.00211646184768139,0.00251135880594376
11,0.00195952446267769,0.00287748580673019
12,0.00183724601482131,0.00319608922350948
13,0.00174273847739451,0.00346183984873692
14,0.00166807963707885,0.00367320021925015
15,0.00160636653729808,0.00383154403712729
16,0.00155231122725578,0.00394035478654038
17,0.00150231278234041,0.00400399290729535
18,0.00145402533557372,0.00402799785373796
19,0.00140616464641753,0.00401782083196472
20,0.00135809644100637,0.00397894258863186
21,0.00130967649424904,0.00391497281650354
22,0.00126069195452882,0.00384121597008
23,0.00121170728836801,0.00376744961368725
24,0.00116272261971959,0.00369368326345119
25,0.00111373795221177,0.00361991691083112
26,0.00106475329491162,0.00354615053962545
27,0.00101576866482345,0.00347238412427584
28,0.000966784089761083,0.00339861762801778
29,0.000917799611630143,0.00332485100081351
30,0.00090133754063503,0.00315303962688126
31,0.000873931938868619,0.00299229567353299
32,0.000840478599615593,0.00284133558398336
33,0.00080417683283717,0.00269979040950744
34,0.000767085294387341,0.00256712664193698
35,0.000730557184184682,0.00244277266034366
36,0.000695354789858716,0.00232624626040326
37,0.000661892556388158,0.00221685660115424
38,0.000630263410113995,0.00211403658596257
39,0.000599817869246849,0.00201516109496954
40,0.000569388471461979,0.00191633854839117
41,0.000542669335098664,0.00182926055502498
42,0.000518437994116449,0.00174994155889657
43,0.000494633578751364,0.00167195280229436
44,0.000470829228947021,0.00159396424425873
45,0.000451277337484672,0.00152919246822901
46,0.000432719363866964,0.00146774588094971
47,0.000415082649139143,0.00140934977670967
48,0.000398022735807274,0.00135285266790683
49,0.000382429672143426,0.00130113330617625
50,0.000367660249257477,0.00125209699394378
