"Time","pH3","pH3_CPCa"
0,0,0
1,15.7770226196029,2.7055495059611e-05
2,25.0810898122505,0.00252314694699251
3,29.7797907411948,0.0953913293642796
4,35.4070917067647,0.342230630300322
5,38.7699549894991,0.467892266285475
6,40.2242113716438,0.567676259892738
7,40.8866867040509,0.651651841046792
8,41.2478215975886,0.721310232193599
9,41.4866414184549,0.778812543072056
10,41.6688405289081,0.826338961990721
11,41.819948598256,0.865775658167943
12,41.9508773173821,0.898675773709136
13,42.0669885961646,0.926282536234906
14,42.1713880271504,0.949596689854872
15,42.2661241549178,0.969414021501627
16,42.3527162184602,0.986380154478643
17,42.4322992281615,1.00099178928257
18,42.5058325602262,1.01367610916941
19,42.574078185512,1.02476009792372
20,42.6376957511222,1.03451638487903
21,42.6971657439846,1.04310929570765
22,42.7545205433491,1.05122222261077
23,42.8118733044789,1.05933462341687
24,42.869226068268,1.0674470245384
25,42.9265788308218,1.07555942553465
26,42.9839315821825,1.08367182553232
27,43.0412843033497,1.09178422311276
28,43.0986369627742,1.09989661619079
29,43.1559895122747,1.10800900188319
30,43.1354946676328,1.10818806698256
31,43.154211207594,1.10864560046154
32,43.1821759452719,1.10948718389776
33,43.212043247748,1.11062735222308
34,43.2418191611563,1.11198636742071
35,43.2708886933505,1.11349939036508
36,43.29910052814,1.11512087556307
37,43.3264277969973,1.11680947397086
38,43.3529116638006,1.11853961267266
39,43.3788521412998,1.12028459657122
40,43.4047855521485,1.12202973772414
41,43.4281615335181,1.12378003871565
42,43.4511223563697,1.12551537235467
43,43.4739959310676,1.1272448081458
44,43.4968694675898,1.12897424275776
45,43.5174798087573,1.13061385841744
46,43.538145649407,1.1322246336714
47,43.5584135246217,1.13380700051467
48,43.5783503561277,1.13537002568496
49,43.597456153732,1.13688011913401
50,43.6161987541223,1.13835862684419
