"Time","pH2A_Sgo1_CPCi"
0,0
1,0.399512256216831
2,0.486571592408525
3,0.425847084841999
4,0.157985858031146
5,0.158218656357769
6,0.17808516624835
7,0.195702979134939
8,0.210572130333249
9,0.223086371452147
10,0.233637130018261
11,0.242559024279732
12,0.250129770503211
13,0.256575026644622
14,0.262079625085545
15,0.266794599184217
16,0.270845612471131
17,0.274332228560557
18,0.27734222442446
19,0.279945925841749
20,0.282203832290291
21,0.284155431566122
22,0.285993115636338
23,0.28783052569188
24,0.289667935985103
25,0.291505346174394
26,0.293342755459568
27,0.295180162372477
28,0.297017564523487
29,0.298854958297201
30,0.298218806831092
31,0.298252539551146
32,0.298269869866278
33,0.29827570046818
34,0.298274140953699
35,0.298268383856356
36,0.298260540903446
37,0.298252277554328
38,0.298244442519747
39,0.298237240814846
40,0.298230049766783
41,0.298226819792192
42,0.298226098911796
43,0.298225781639136
44,0.298225464383374
45,0.298230419586874
46,0.298235826602584
47,0.298241610999734
48,0.298247711349249
49,0.298254641348658
50,0.298261838766585
