"Time","Mps1a","pMps1a","Ndc80_Mps1a","Ndc80_pMps1a","pNdc80_Mps1a","pNdc80_pMps1a","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i"
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
