"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa","pH2A_Sgo1_CPCi","pH2A_Sgo1_pH3_CPCi","pH2A_Sgo1_pH3_CPCa","Total"
0,0,0,0,0,0,0,0
1,0.0064531167687458,0,0,0,0,0,0.0064531167687458
2,0.0050490044628006,0,0,0,0,0,0.0050490044628006
3,0.00480754759792431,0,0,0,0,0,0.00480754759792431
4,0.00475563572641888,0,0,0,0,0,0.00475563572641888
5,0.00474072644980579,0,0,0,0,0,0.00474072644980579
6,0.00473533448686457,0,0,0,0,0,0.00473533448686457
7,0.00473313950615432,0,0,0,0,0,0.00473313950615432
8,0.00473220274613104,0,0,0,0,0,0.00473220274613104
9,0.00473179543823525,0,0,0,0,0,0.00473179543823525
10,0.00473161940673175,0,0,0,0,0,0.00473161940673175
