"Time","Haspina","Haspini","Plk1a","Plk1i"
0,0,0,0.27418479226,0
1,0.359540132552054,0.231913708692744,0.272773346782954,0
2,0.597529557173553,0.264673158261281,0.27135839461346,0
3,0.681648807909281,0.269294153334543,0.270548299918206,0
4,0.708950030340032,0.269945805358261,0.270144378165986,0
5,0.717764483704452,0.270037712883594,0.269954463170845,0
6,0.720650810157551,0.270050674612041,0.269867557442611,0
7,0.721612125095877,0.270052502569895,0.269828332821673,0
8,0.721937280690144,0.270052760674839,0.269810765798229,0
9,0.72204861408825,0.270052797086215,0.26980293961328,0
10,0.722087144485985,0.270052802234051,0.269799464808677,0
