"Prot_01_log10";"Prot_02_log10";"Prot_03_log10";"Prot_04_log10";"Prot_05_log10";"Prot_06_log10";"Prot_07_log10";"Prot_08_log10";"Prot_09_log10";"Prot_10_log10";"Prot_11_log10";"Prot_12_log10";"Prot_13_log10";"Prot_14_log10"
"AURKB";4.020513243;3.996671802;4.078395566;3.82302336;3.970995761;3.897560232;3.858430657;4.009462816;4.020408714;4.076340365;4.085229586;4.010755217;4.07008647;3.981563899
"CDCA8";4.33138522;4.212424273;4.401016115;4.291142506;4.320201371;4.295222271;4.221759363;4.272896734;4.18267792;4.379502816;4.260328704;4.248515262;4.336991214;4.022477871
"INCENP";4.544788998;4.296540877;4.396731739;4.439657154;4.411461395;4.401775678;4.422110558;4.378966413;4.407927465;4.317569244;4.328876747;4.587544837;4.280062937;4.414742269
"PLK1";4.442840661;4.572193777;4.436583388;4.482387367;4.57727047;4.441306792;4.472421542;4.512621346;4.410988083;4.391152839;4.487107105;4.423807388;4.642493693;4.504065508
"TTK";3.507666865;3.561166347;3.719653518;3.790182821;3.600980001;3.442459928;3.374730772;3.634577242;3.736007575;3.644392782;3.521868058;3.477478293;3.567479902;3.441747688
