"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","Sum_Active"
0,0,0,0,0
1,1.33913101620185e-06,0.00350774017329851,0,0.00350907930431471
2,7.54320500316965e-05,0.642633016192992,0,0.642708448243023
3,0.000674105814312802,2.60938375161792,0,2.61005785743223
4,0.0018909155333547,2.87836601110899,0,2.88025692664234
5,0.00221782482109422,3.05044193819732,0,3.05265976301841
6,0.00222221078781732,3.18479147219923,0,3.18701368298704
7,0.00221634048969531,3.30768393977228,0,3.30990028026198
8,0.00221204009473481,3.42318082128411,0,3.42539286137884
9,0.00220925318072486,3.53247439922106,0,3.53468365240179
10,0.00220763209336192,3.63579580281425,0,3.63800343490761
11,0.00220688024262924,3.73301674757018,0,3.73522362781281
12,0.00220676116213273,3.82394779246683,0,3.82615455362896
13,0.00220709032484922,3.90847075922284,0,3.91067784954769
14,0.00220772890733576,3.98655735047737,0,3.9887650793847
15,0.00220856896593943,4.05832281018775,0,4.06053137915369
16,0.00220953167094663,4.12396410416745,0,4.1261736358384
17,0.00221055888272665,4.18376535443964,0,4.18597591332237
18,0.00221160600567418,4.23804850989558,0,4.24026011590125
19,0.0022126291360256,4.28733010660929,0,4.28954273574532
20,0.00221367440298243,4.33280343766744,0,4.33501711207042
21,0.0022146623450333,4.37492071968487,0,4.3771353820299
22,0.00221560143390926,4.4117565433399,0,4.41397214477381
23,0.00221646068329424,4.44368265366421,0,4.44589911434751
24,0.00221726503718876,4.47230510069321,0,4.4745223657304
25,0.0022180093631083,4.49813602206883,0,4.50035403143194
26,0.0022186893048357,4.52115966938223,0,4.52337835868707
27,0.00221931066460448,4.54168749407675,0,4.54390680474135
28,0.00221987332013965,4.56007809637709,0,4.56229796969723
29,0.00222044777733138,4.57687771973615,0,4.57909816751348
30,0.00222104089643624,4.59344579635999,0,4.59566683725642
31,0.0022216340062241,4.61001393505133,0,4.61223556905755
32,0.00222222710329744,4.62658215913986,0,4.62880438624315
33,0.0022228201844261,4.64315049168505,0,4.64537331186947
34,0.00222341324658262,4.65971895549777,0,4.66194236874436
35,0.00222400628697353,4.67628757315143,0,4.67851157943841
36,0.00222459930306536,4.69285636698037,0,4.69508096628344
37,0.00222417206235284,4.6953015006801,0,4.69752567274245
38,0.00222430742035875,4.6976489241735,0,4.69987323159386
39,0.00222444278000927,4.69999633498631,0,4.70222077776632
40,0.00222457814195807,4.70234372805472,0,4.70456830619668
41,0.0022247135068562,4.7046910983249,0,4.70691581183175
42,0.00222484887535128,4.70703844075334,0,4.7092632896287
43,0.00222498424808684,4.70938575030722,0,4.71161073455531
44,0.00222511962570152,4.71173302196459,0,4.71395814159029
45,0.00222525500882837,4.71408025071453,0,4.71630550572336
46,0.0022253903980942,4.71642743155725,0,4.71865282195534
47,0.00222552579411885,4.71877455950391,0,4.72100008529803
48,0.00222566119751459,4.7211216295765,0,4.72334729077402
49,0.00222579660888545,4.72346863680742,0,4.7256944334163
50,0.00222593202882669,4.72581557623894,0,4.72804150826777
