"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,3.53615384615385,0,0
1,1.22395734281979,150.912135325861,6.94137775970085
2,1.12478753556571,151.894844976482,6.37826740122359
3,1.12261743900455,152.361208728005,6.38511306082482
4,1.11778644383027,153.363215890441,6.39949631816011
5,1.11497348346226,153.817494636515,6.40241499286197
6,1.11434532271371,153.918050540697,6.40298722572689
7,1.11406748353011,153.969948286858,6.4035499651504
8,1.11387983086288,154.005747419607,6.40396124578955
9,1.11374815658468,154.030887445185,6.40425046299609
10,1.11365563971099,154.04856354443,6.40445405639863
11,1.113590131481,154.061105647966,6.40459922880518
12,1.11354297318706,154.070165113415,6.4047049608099
13,1.11350820234229,154.076874094603,6.40478411595683
14,1.11348183483068,154.081986343072,6.4048451158977
15,1.11346121446045,154.086003784113,6.40489362406598
16,1.11344461432557,154.089252627442,6.40493326652939
17,1.11343089900147,154.091947158525,6.40496643436611
18,1.11341932169675,154.094228618282,6.40499471062263
19,1.1134093634129,154.096194367317,6.40501913012837
20,1.11340041890304,154.097971483253,6.40503681720781
21,1.11339242286259,154.099546783033,6.40506109377067
22,1.11338566830683,154.100886850798,6.40507795111567
23,1.11337989481376,154.102032821369,6.40509236902667
24,1.1133747579195,154.103052431636,6.40510520120156
25,1.11337014915954,154.103967047091,6.40511671264566
26,1.1133660675139,154.10477747022,6.40512691186952
27,1.11336244486427,154.10549670532,6.40513596398474
28,1.11335920743959,154.106138412735,6.40514404145312
29,1.11335601582394,154.106722989967,6.40515093437126
30,1.11335268487795,154.107299449936,6.40515739367549
31,1.1133493540998,154.107875911052,6.40516385655345
32,1.11334602355325,154.108452374058,6.40517032438693
33,1.1133426933013,154.10902883986,6.40517679856235
34,1.11333936340605,154.109605309533,6.40518328047172
35,1.11333603392853,154.110181784318,6.40518977151322
36,1.11333270492857,154.110758265618,6.4051962730912
37,1.11333595916492,154.110789482307,6.40519401185609
38,1.11333614874553,154.110831688068,6.4051770982227
39,1.11333633832398,154.110873876962,6.40516022337786
40,1.11333652789933,154.110916042272,6.40514340277311
41,1.11333671747056,154.110958177314,6.40512665179304
42,1.11333690703659,154.111000275439,6.40510998574076
43,1.11333709659626,154.111042330046,6.40509341982365
44,1.11333728614829,154.111084334585,6.40507696913953
45,1.11333747569131,154.111126282568,6.40506064866318
46,1.11333766522382,154.111168167569,6.40504447323332
47,1.11333785474416,154.111209983237,6.40502845754013
48,1.11333804425056,154.111251723299,6.40501261611325
49,1.11333823374106,154.111293381565,6.40499696331048
50,1.11333842321354,154.111334951936,6.40498151330711
