"Time","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i","Sum_Inactive"
0,1.8927,0,0,0,0,0,1.8927
1,0.11624009110066,0.146261991008655,0,0,0,0,0.262502082109315
2,0.0277739675161369,0.0939117908806988,0,0,0,0,0.121685758396836
3,0.00863899770279556,0.0915039353250705,0,0,0,0,0.100142933027866
4,0,0.0755073481512058,0,0,0,0,0.0755073481512058
5,0,0.0623189458995352,0,0,0,0,0.0623189458995352
6,0,0.0533103897390106,0,0,0,0,0.0533103897390106
7,0,0.0463725211215324,0,0,0,0,0.0463725211215324
8,0,0.0411576298165725,0,0,0,0,0.0411576298165725
9,0,0.0373379762195224,0,0,0,0,0.0373379762195224
10,0,0.0345779426716772,0,0,0,0,0.0345779426716772
11,0,0.0325847656348448,0,0,0,0,0.0325847656348448
12,0,0.0311296181193033,0,0,0,0,0.0311296181193033
13,0,0.0300456634690342,0,0,0,0,0.0300456634690342
14,0,0.0292173799649381,0,0,0,0,0.0292173799649381
15,0,0.0285657881703724,0,0,0,0,0.0285657881703724
16,0,0.028038698207918,0,0,0,0,0.028038698207918
17,0,0.0276014941310297,0,0,0,0,0.0276014941310297
18,0,0.0272311982221495,0,0,0,0,0.0272311982221495
19,0,0.026912589638791,0,0,0,0,0.026912589638791
20,0,0.0266249649800737,0,0,0,0,0.0266249649800737
21,0,0.0263665428619647,0,0,0,0,0.0263665428619647
22,0,0.0261485299920126,0,0,0,0,0.0261485299920126
23,0,0.0259616972096245,0,0,0,0,0.0259616972096245
24,0,0.02579536751161,0,0,0,0,0.02579536751161
25,0,0.0256459627379383,0,0,0,0,0.0256459627379383
26,0,0.0255134306561673,0,0,0,0,0.0255134306561673
27,0,0.0253957186415605,0,0,0,0,0.0253957186415605
28,0,0.0252906208079265,0,0,0,0,0.0252906208079265
29,0,0.0251944622421616,0,0,0,0,0.0251944622421616
30,0,0.0250994312819923,0,0,0,0,0.0250994312819923
31,0,0.0250044004869721,0,0,0,0,0.0250044004869721
32,0,0.0249093699252487,0,0,0,0,0.0249093699252487
33,0,0.0248143396668871,0,0,0,0,0.0248143396668871
34,0,0.0247193097835707,0,0,0,0,0.0247193097835707
35,0,0.0246242803483458,0,0,0,0,0.0246242803483458
36,0,0.0245292514354191,0,0,0,0,0.0245292514354191
37,0,0.0245260864715172,0,0,0,0,0.0245260864715172
38,0,0.0245203289142568,0,0,0,0,0.0245203289142568
39,0,0.0245145713634253,0,0,0,0,0.0245145713634253
40,0,0.0245088138215786,0,0,0,0,0.0245088138215786
41,0,0.0245030562912541,0,0,0,0,0.0245030562912541
42,0,0.0244972987749684,0,0,0,0,0.0244972987749684
43,0,0.024491541275216,0,0,0,0,0.024491541275216
44,0,0.0244857837944674,0,0,0,0,0.0244857837944674
45,0,0.0244800263351668,0,0,0,0,0.0244800263351668
46,0,0.0244742688997305,0,0,0,0,0.0244742688997305
47,0,0.0244685114905443,0,0,0,0,0.0244685114905443
48,0,0.0244627541099618,0,0,0,0,0.0244627541099618
49,0,0.0244569967603013,0,0,0,0,0.0244569967603013
50,0,0.0244512394438439,0,0,0,0,0.0244512394438439
