"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","Sum_Active"
0,0,0,0,0
1,1.61132007631004e-06,0.000253209363726193,3.13171131545263e-05,0.000286137796957029
2,6.4463939220982e-05,0.00918756647297906,0.00337677952311314,0.0126288099353132
3,0.000790586694634341,0.238902560282254,0.130862629677836,0.370555776654725
4,0.00246485894951405,0.623209640581783,0.435618680637687,1.06129318016898
5,0.00287647739790634,0.75907825608316,0.598998258439949,1.36095299192102
6,0.00287993597561169,0.871506562824577,0.731657233414156,1.60604373221434
7,0.0028721020933021,0.976119343380555,0.844452574469027,1.82344401994288
8,0.00286722802022586,1.07252661383178,0.938520313343373,2.01391415519538
9,0.00286476447119104,1.16044471607753,1.01614910526034,2.17945858580906
10,0.00286396861995982,1.2400197884151,1.07992505539619,2.32280881243124
11,0.00286428853066739,1.31163791124408,1.13223002541883,2.44673222519358
12,0.00286533121081062,1.37581976615386,1.17511566660106,2.55380076396573
13,0.00286682009156534,1.4331512118217,1.21029871088591,2.64631674279918
14,0.00286856473048992,1.48421536027652,1.23917459152433,2.72625851653134
15,0.00287043146932826,1.5296125213188,1.26290789416562,2.79539084695375
16,0.0028723301724299,1.56990150719381,1.28243578455498,2.85520962192122
17,0.00287420097577821,1.605614395055,1.29852724204597,2.90701583807674
18,0.0028760008989768,1.63723500423576,1.31180639656944,2.95191740170417
19,0.00287768497633639,1.6652982156291,1.32281457835696,2.99099047896239
20,0.00287935523593038,1.69077981744985,1.33231297762256,3.02597215030834
21,0.00288089957230812,1.7140237204357,1.34055183613533,3.05745645614334
22,0.00288231406969952,1.7338260368662,1.34695512600595,3.08366347694185
23,0.00288357333336883,1.75060525266635,1.35195092191839,3.10543974791811
24,0.00288473270699949,1.76542517721047,1.35612144207745,3.12443135199492
25,0.00288579130587695,1.7786263250429,1.35965255439814,3.14116467074691
26,0.00288674577339167,1.79023087179867,1.36258989680638,3.15570751437844
27,0.00288760826082701,1.80044607052675,1.36504547493207,3.16837915371964
28,0.00288837986115526,1.80949271874592,1.36711957862991,3.17950067723699
29,0.00288915936978978,1.81768145159663,1.36892667879554,3.18949728976196
30,0.00288995684909899,1.82574655462213,1.37069661545652,3.19933312692775
31,0.00289075432752495,1.83381169021409,1.37246656198815,3.20916900652976
32,0.00289155180495464,1.84187687052472,1.37423652224433,3.21900494457401
33,0.00289234928147044,1.84994210751498,1.3760065001159,3.22884095691235
34,0.00289314675738988,1.85800741296562,1.37777649953418,3.23867705925718
35,0.00289394423330005,1.86607279848276,1.37954652447298,3.24851326718904
36,0.00289474171008531,1.87413827549679,1.38131657894865,3.25834959615552
37,0.00289420905964709,1.87473092825126,1.38087067085154,3.25849580816244
38,0.00289436265718881,1.87526664509494,1.38044623512743,3.25860724287956
39,0.00289451624239657,1.87580235815846,1.38002180446257,3.25871867886342
40,0.00289466981036397,1.8763380659294,1.37959738088097,3.25883011662074
41,0.00289482335620638,1.87687376689682,1.37917296640478,3.25894155665781
42,0.00289497687506546,1.87740945955149,1.37874856305397,3.25905299948052
43,0.00289513036211342,1.87794514238608,1.37832417284621,3.2591644455944
44,0.00289528381255734,1.87848081389536,1.37789979779671,3.25927589550463
45,0.00289543722164321,1.87901647257638,1.37747543991807,3.25938734971609
46,0.00289559058465992,1.87955211692855,1.37705110122024,3.25949880873345
47,0.00289574389694306,1.88008774545379,1.37662678371044,3.25961027306118
48,0.00289589715387854,1.88062335665654,1.37620248939326,3.25972174320368
49,0.002896050350906,1.88115894904378,1.37577822027067,3.25983321966536
50,0.002896203483522,1.88169452112498,1.37535397834222,3.25994470295072
