"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0.783361231587692,0,0
1,0.408600575328394,0,0
2,0.346027937514858,0,0
3,0.334181753663007,0,0
4,0.331255373403752,0,0
5,0.330299157946929,0,0
6,0.32992735972434,0,0
7,0.329771425748193,0,0
8,0.329704155039413,0,0
9,0.329674890159263,0,0
10,0.329662109412757,0,0
