"Time","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","pH2A_Sgo1_pH3_CPCi","Sum_Inactive"
0,1.06494568966,0,0,0,1.06494568966
1,1.02376598631116,0.120592629298256,0.124409506811801,0.0156720410968617,1.28444016351808
2,0.898741786573341,0.380492560753506,0.341585010555011,0.180958981675423,1.80177833955728
3,0.765990182865118,0.507810070713321,0.493516473064884,0.461861618152166,2.22917834479549
4,0.661543843801735,0.504262505092291,0.628562851380701,0.721896997090288,2.51626619736502
5,0.5858378020885,0.443683983675216,0.77034324390733,0.909936120390063,2.70980115006111
6,0.530164015308162,0.369238786651816,0.899276286703099,1.01096286648613,2.8096419551492
7,0.485854265505444,0.279636053128228,0.92516929089382,0.95963512888118,2.65029473840867
8,0.444029658383995,0.166025155303879,0.718630671728309,0.671464476128347,2.00014996154453
9,0.397817587786812,0.0963574756172183,0.528292394990723,0.441663563023661,1.46413102141841
10,0.346791005061325,0.0721486507079393,0.480953766183797,0.373845617155564,1.27373903910862
