"Time","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","pH2A_Sgo1_pH3_CPCi","Sum_Inactive"
0,0.819188992046154,0,0,0,0.819188992046154
1,0.787607655885051,0.102822333064807,2.69624000365523e-08,3.6002619399023e-09,0.89043001951252
2,0.691440802777178,0.426067815483328,5.01290816383017e-06,3.33879729438549e-06,1.11751696996596
3,0.589295294931799,0.757726023741161,2.41239415346331e-05,3.59153491955212e-05,1.34708135796369
4,0.508936536093894,0.987573300365715,4.48689371726341e-05,0.000104313714860063,1.49665901911164
5,0.450696920013902,1.11943481197768,6.47783472908088e-05,0.00018972478642423,1.57038623512529
6,0.40787484870063,1.18510675461779,8.77671985955122e-05,0.000286495229356882,1.59335586574637
7,0.373815282327172,1.2074356413197,0.000115477530958905,0.000395649251603255,1.58176205042943
8,0.341709208126204,1.19049810804327,0.000146283578737373,0.000513047301971243,1.53286664705019
9,0.306223739396305,1.11811592843121,0.000173868830459137,0.000618217111518828,1.4251317537695
10,0.266995637838366,0.979364124974604,0.00018975626152827,0.000680239820528421,1.24722975889503
