"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","pH2A_Sgo1_pH3_CPCa","Sum_Active"
0,0,0,0,0,0
1,8.15474135508345e-05,1.01956557862795e-05,1.05372020104403e-05,1.35077256175253e-06,0.000103631043909307
2,0.000159711283963905,9.0106098652568e-05,8.10547204852408e-05,4.57816140576386e-05,0.000376653717159353
3,0.00024229892558085,0.000327702519943692,0.000313779742123169,0.00032535097907411,0.00120913216672182
4,0.000373770004185774,0.00103528780597512,0.00123778977139508,0.0015856136755804,0.00423246125713638
5,0.000667807110383538,0.00348848951709321,0.00570256785967294,0.00741098718495941,0.0172698516721091
6,0.00150264143118697,0.0131509197355291,0.0299690778372054,0.0364796242974004,0.0811022633013219
7,0.00434033790851921,0.0497435055794717,0.153938384886383,0.172127335611868,0.380149563986242
8,0.0133556594108542,0.124272168495573,0.500405460504447,0.515743352022557,1.15377664043343
9,0.0322601988179828,0.16482957595808,0.820255320445424,0.784579442709465,1.80192453793095
10,0.0590757372113739,0.165133759268499,0.99043069564888,0.883357245422719,2.09799743755147
