"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa","pH2A_Sgo1_CPCi","pH2A_Sgo1_pH3_CPCi","pH2A_Sgo1_pH3_CPCa","Total"
0,0,0,0,0,0,0,0
1,1.99076391035584,0.240650289440895,8.51099489314091e-06,0.102822333064807,3.6002619399023e-09,2.99035772449739e-13,2.334245047457
2,3.08513069909809,0.425883950261687,8.76578822951762e-05,0.426067815483328,3.33879729438549e-06,7.06190736964585e-10,3.93717346222888
3,3.77045628008897,0.426089987944568,0.000333901061083298,0.757726023741161,3.59153491955212e-05,1.70357153385384e-08,4.95464212522069
4,4.15302046014597,0.34598250049375,0.000947539236444321,0.987573300365715,0.000104313714860063,1.12354771486377e-07,5.48762822631151
5,4.32601438377947,0.264776988567056,0.00245747362857428,1.11943481197768,0.00018972478642423,4.78231175738812e-07,5.71287386097037
6,4.37758529701208,0.207982326226593,0.00630939090762336,1.18510675461779,0.000286495229356882,1.76364744092546e-06,5.77727202764088
7,4.36946013947318,0.174109084712685,0.0167372181548285,1.2074356413197,0.000395649251603255,6.33619068454395e-06,5.76814406910268
8,4.33640193157955,0.155653446431897,0.0461300737453277,1.19049810804327,0.000513047301971243,2.28872565437212e-05,5.72921949435857
9,4.29664299773105,0.146422799300111,0.119734953407235,1.11811592843121,0.000618217111518828,7.58825822802165e-05,5.68161077856341
10,4.2597140887566,0.14252091899009,0.253293614024515,0.979364124974604,0.000680239820528421,0.000199967880471972,5.63577295444681
