"Time","Mps1a","pMps1a","Ndc80_Mps1a","Ndc80_pMps1a","pNdc80_Mps1a","pNdc80_pMps1a","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i"
0,0.195840307896923,0,0,0,0,0,0.783361231587692,0,0,0,0,0
1,0.158212725782404,0.0775618382600451,0.00238624880277412,0.0422308760958641,3.21737914338676e-07,2.79545061314026e-07,0.408575560312256,0.332720463739197,0.00645254161332966,0.157072131113789,1.15438606503353e-06,3.21013099436774e-06
2,0.161615796322029,0.0923271434799844,0.00225212924085585,0.0649229570136829,1.05568654138889e-06,1.38304432431735e-06,0.345947009847041,0.376414754220458,0.00504726400324209,0.213151519929525,3.18431875208209e-06,2.24189587841398e-05
3,0.164911435037445,0.0971501306349786,0.0022651334057784,0.0721990466531095,2.73901953069096e-06,4.1021676932588e-06,0.334009543601039,0.380100134101636,0.0048036796583733,0.219555211905305,7.83240781663128e-06,7.36996939669467e-05
4,0.166546281596835,0.0991003198089255,0.00228180970448863,0.07474031265061,6.67566915591155e-06,1.05418437638366e-05,0.330918547694345,0.379584154291972,0.00474757023741507,0.219126504128948,1.87446067232562e-05,0.000196470163592291
5,0.167188629747366,0.100031696379329,0.00228784718198111,0.0757412464692595,1.61689968352422e-05,2.59980637193482e-05,0.329600518081763,0.379321836310266,0.00472318247784101,0.218457718245266,4.50381141758209e-05,0.000488746511192494
6,0.167153068064686,0.100754989899761,0.00228197401713675,0.076203426336332,4.02084017592558e-05,6.47477254877146e-05,0.328222520326527,0.380002539991575,0.00469256717510636,0.218117171600094,0.0001114578807753,0.00120681260378161
7,0.165985488255709,0.1022184697739,0.00225132281200155,0.076615767036647,0.00010480616266866,0.000168880578225212,0.324632687221832,0.383269811831445,0.00461157379767769,0.218193060380062,0.000289106405997848,0.00307434150711467
8,0.161642651401175,0.106675100058855,0.0021502072136695,0.0776550040562895,0.000280866965736598,0.000471377593867017,0.313059796826714,0.394645904958459,0.00436291562603534,0.21939078126588,0.00076884655274831,0.00829561185644468
9,0.151829308777307,0.116500163127392,0.00191989300080148,0.0798902957120983,0.000678029642567142,0.00131978790135609,0.286903984459836,0.420575503132946,0.00380351954773181,0.22190230458405,0.00182866889134308,0.0229654863280328
10,0.137586824737052,0.130678349719949,0.00157788036899819,0.0819232469031048,0.00126584501901138,0.00320407216825058,0.249209251366244,0.457929036260952,0.00299942091188414,0.221572163499249,0.0033257462404125,0.0581686954294183
