"Time","Mps1a","pMps1a","Ndc80_Mps1a","Ndc80_pMps1a","pNdc80_Mps1a","pNdc80_pMps1a","Sum_Active"
0,0.195840307896923,0,0,0,0,0,0.195840307896923
1,0.158212725782404,0.0775618382600451,0.00238624880277412,0.0422308760958641,3.21737914338676e-07,2.79545061314026e-07,0.280392290224063
2,0.161615796322029,0.0923271434799844,0.00225212924085585,0.0649229570136829,1.05568654138889e-06,1.38304432431735e-06,0.321120464787418
3,0.164911435037445,0.0971501306349786,0.0022651334057784,0.0721990466531095,2.73901953069096e-06,4.1021676932588e-06,0.336532586918535
4,0.166546281596835,0.0991003198089255,0.00228180970448863,0.07474031265061,6.67566915591155e-06,1.05418437638366e-05,0.342685941273779
5,0.167188629747366,0.100031696379329,0.00228784718198111,0.0757412464692595,1.61689968352422e-05,2.59980637193482e-05,0.34529158683849
6,0.167153068064686,0.100754989899761,0.00228197401713675,0.076203426336332,4.02084017592558e-05,6.47477254877146e-05,0.346498414445163
7,0.165985488255709,0.1022184697739,0.00225132281200155,0.076615767036647,0.00010480616266866,0.000168880578225212,0.347344734619152
8,0.161642651401175,0.106675100058855,0.0021502072136695,0.0776550040562895,0.000280866965736598,0.000471377593867017,0.348875207289592
9,0.151829308777307,0.116500163127392,0.00191989300080148,0.0798902957120983,0.000678029642567142,0.00131978790135609,0.352137478161521
10,0.137586824737052,0.130678349719949,0.00157788036899819,0.0819232469031048,0.00126584501901138,0.00320407216825058,0.356236218916365
