"Time","pH2A_Sgo1_CPCi","pH2A_Sgo1_pH3_CPCi"
0,0,0
1,0.102822333064807,3.6002619399023e-09
2,0.426067815483328,3.33879729438549e-06
3,0.757726023741161,3.59153491955212e-05
4,0.987573300365715,0.000104313714860063
5,1.11943481197768,0.00018972478642423
6,1.18510675461779,0.000286495229356882
7,1.2074356413197,0.000395649251603255
8,1.19049810804327,0.000513047301971243
9,1.11811592843121,0.000618217111518828
10,0.979364124974604,0.000680239820528421
