"Time","pH2A_Sgo1_CPCi","pH2A_Sgo1_pH3_CPCi"
0,0,0
1,0.120592629298256,0.0156720410968617
2,0.380492560753506,0.180958981675423
3,0.507810070713321,0.461861618152166
4,0.504262505092291,0.721896997090288
5,0.443683983675216,0.909936120390063
6,0.369238786651816,1.01096286648613
7,0.279636053128228,0.95963512888118
8,0.166025155303879,0.671464476128347
9,0.0963574756172183,0.441663563023661
10,0.0721486507079393,0.373845617155564
