"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa","pH2A_Sgo1_pH3_CPCa"
0,0,0,0,0
1,2.28029760876484,0.285428621246527,1.01956557862795e-05,1.35077256175253e-06
2,3.02249231589406,0.397043956287257,9.0106098652568e-05,4.57816140576386e-05
3,3.39851697139654,0.307702245824966,0.000327702519943692,0.00032535097907411
4,3.6068879489014,0.19631893946567,0.00103528780597512,0.0015856136755804
5,3.70179817366889,0.12154734915127,0.00348848951709321,0.00741098718495941
6,3.72576234252919,0.0822061012840495,0.0131509197355291,0.0364796242974004
7,3.71201099664107,0.0634373641074587,0.0497435055794717,0.172127335611868
8,3.68070365606694,0.0542038548782589,0.124272168495573,0.515743352022557
9,3.64216205931006,0.0490390196298923,0.16482957595808,0.784579442709465
10,3.60118913877273,0.0456443910368924,0.165133759268499,0.883357245422719
