"Time","pH3","pH3_CPCa","pH3_CPCi","pH2A_Sgo1_pH3_CPCa","pH2A_Sgo1_pH3_CPCi","Total"
0,0,0,0,0,0,0
1,2.71694886457043e-07,2.18568493168356e-12,2.69624000365523e-08,2.99035772449739e-13,3.6002619399023e-09,3.02260033154202e-07
2,1.78689177869765e-05,9.8958140269806e-10,5.01290816383017e-06,7.06190736964585e-10,3.33879729438549e-06,2.62223190173319e-05
3,4.6661015224175e-05,1.02312720407071e-08,2.41239415346331e-05,1.70357153385384e-08,3.59153491955212e-05,0.000106727572941709
4,5.87845442309406e-05,4.25144475921034e-08,4.48689371726341e-05,1.12354771486377e-07,0.000104313714860063,0.000208122065482716
5,6.81003241094973e-05,1.44092652233245e-07,6.47783472908088e-05,4.78231175738812e-07,0.00018972478642423,0.000323225781652508
6,8.17790631400137e-05,4.83733123029627e-07,8.77671985955122e-05,1.76364744092546e-06,0.000286495229356882,0.000458288871656363
7,0.000100426867796193,1.69728213300685e-06,0.000115477530958905,6.33619068454395e-06,0.000395649251603255,0.000619587123175904
8,0.000123649049097491,6.15382151150041e-06,0.000146283578737373,2.28872565437212e-05,0.000513047301971243,0.000812021007861329
9,0.000151269822476754,2.03017268532761e-05,0.000173868830459137,7.58825822802165e-05,0.000618217111518828,0.00103954007358821
10,0.000183787577168988,5.26044548604796e-05,0.00018975626152827,0.000199967880471972,0.000680239820528421,0.00130635599455813
