"Time","pH3_CPCi","pH2A_Sgo1_pH3_CPCi"
0,0,0
1,2.69624000365523e-08,3.6002619399023e-09
2,5.01290816383017e-06,3.33879729438549e-06
3,2.41239415346331e-05,3.59153491955212e-05
4,4.48689371726341e-05,0.000104313714860063
5,6.47783472908088e-05,0.00018972478642423
6,8.77671985955122e-05,0.000286495229356882
7,0.000115477530958905,0.000395649251603255
8,0.000146283578737373,0.000513047301971243
9,0.000173868830459137,0.000618217111518828
10,0.00018975626152827,0.000680239820528421
