"Time","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","pH2A_Sgo1_pH3_CPCi","Sum_Inactive"
0,1.06494568966,0,0,0,1.06494568966
1,1.06486101076374,0,0,0,1.06486101076374
2,1.0647605252337,0,0,0,1.0647605252337
3,1.06464130601846,0,0,0,1.06464130601846
4,1.06449989364226,0,0,0,1.06449989364226
5,1.06433220328291,0,0,0,1.06433220328291
6,1.06413341723168,0,0,0,1.06413341723168
7,1.06389786109454,0,0,0,1.06389786109454
8,1.06361886217261,0,0,0,1.06361886217261
9,1.06328858588009,0,0,0,1.06328858588009
10,1.06289786353408,0,0,0,1.06289786353408
