"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","pH2A_Sgo1_pH3_CPCa","Sum_Active"
0,0,0,0,0,0
1,0,0,3.2302108183215e-05,0,3.2302108183215e-05
2,0,0,5.44035045501889e-05,0,5.44035045501889e-05
3,0,0,6.95247308018145e-05,0,6.95247308018145e-05
4,0,0,7.9869947803317e-05,0,7.9869947803317e-05
5,0,0,8.69475008862687e-05,0,8.69475008862687e-05
6,0,0,9.17894188045061e-05,0,9.17894188045061e-05
7,0,0,9.51018681539666e-05,0,9.51018681539666e-05
8,0,0,9.73679502028545e-05,0,9.73679502028545e-05
9,0,0,9.89180964415091e-05,0,9.89180964415091e-05
10,0,0,9.99786338203895e-05,0,9.99786338203895e-05
