"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","pH2A_Sgo1_pH3_CPCa","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","pH2A_Sgo1_pH3_CPCi"
0,0,0,0,0,0.819188992046154,0,0,0
1,0,0,2.484777552555e-05,0,0.819123854433649,0,0,0
2,0,0,4.18488496539915e-05,0,0.819046557872077,0,0,0
3,0,0,5.34805621552419e-05,0,0.818954850783427,0,0,0
4,0,0,6.1438421387167e-05,0,0.818846072032509,0,0,0
5,0,0,6.68826929894375e-05,0,0.818717079448393,0,0,0
6,0,0,7.06072452342355e-05,0,0.818564167101295,0,0,0
7,0,0,7.31552831953589e-05,0,0.818382970072721,0,0,0
8,0,0,7.4898423232965e-05,0,0.81816835551739,0,0,0
9,0,0,7.60908434165454e-05,0,0.817914296830838,0,0,0
10,0,0,7.69066414002996e-05,0,0.817613741180059,0,0,0
