"ID","Item Name","Name","Population","Timepoint","Abs. Time","Rel. Time (s)","Type","Centroid X (�m)","Centroid Y (�m)","Longest Axis (�m)","Volume (�m3)","Min (1)","Max (1)","Mean (1)","Sum (1)","Standard Deviation (1)","Min (2)","Max (2)","Mean (2)","Sum (2)","Standard Deviation (2)","Min (3)","Max (3)","Mean (3)","Sum (3)","Standard Deviation (3)","Min (4)","Max (4)","Mean (4)","Sum (4)","Standard Deviation (4)","Centroid Z (�m)","Surface Area (�m2)","Number of contained Population 2","Compartment ROIs ID"
"1","T2_image5","ROIs 1","ROIs","1","00:00:00.000","0","Object","N/A","N/A","N/A","1172.22","0","106","6.36","6234211","7.36","0","238","4.32","4229950","11.42","0","56","0.734","718868","1.74","0","160","19.03","18644615","27.82","N/A","N/A","17","N/A"
"965","T2_image5","Population 2 5","Population 2","1","00:00:00.000","0","Object","31.73","0.973","0.47","0.0263","51","81","58.68","1291","7.11","111","208","173.91","3826","27.29","4","19","11.59","255","4.66","37","97","70","1540","14.91","0.632","0.831","N/A","1"
"967","T2_image5","Population 2 6","Population 2","1","00:00:00.000","0","Object","26.91","4.06","0.47","0.0347","51","75","59.07","1713","6.66","22","123","95.97","2783","23.38","1","18","7.9","229","5.55","13","118","73.24","2124","25.26","0.616","1.05","N/A","1"
"969","T2_image5","Population 2 7","Population 2","1","00:00:00.000","0","Object","32.56","8.32","0.451","0.0215","51","68","56.33","1014","4.26","87","180","141.83","2553","21.9","1","20","10","180","5.9","73","112","93.67","1686","11.86","0.515","0.684","N/A","1"
"1021","T2_image5","Population 2 33","Population 2","1","00:00:00.000","0","Object","9.64","4.12","0.382","0.0132","52","63","55.91","615","3.03","141","195","174.55","1920","17.22","1","13","8.36","92","2.9","30","47","39","429","5.06","0.843","0.396","N/A","1"
"1023","T2_image5","Population 2 34","Population 2","1","00:00:00.000","0","Object","36.38","5.65","0.301","0.0156","51","74","59.62","775","8.06","90","169","125.85","1636","26.66","2","15","8.08","105","3.41","90","109","99.85","1298","6.31","0.993","0.52","N/A","1"
"1025","T2_image5","Population 2 35","Population 2","1","00:00:00.000","0","Object","32.25","5.79","0.324","0.0215","51","73","58.11","1046","6.77","72","156","115.22","2074","27.5","4","17","9.72","175","3.36","33","91","70.28","1265","11.88","0.883","0.687","N/A","1"
"1027","T2_image5","Population 2 36","Population 2","1","00:00:00.000","0","Object","35.91","7.45","0.657","0.0586","51","73","59.73","2927","6.43","74","181","147.02","7204","24.03","4","24","12.08","592","4.85","58","110","89.69","4395","11.75","0.777","1.49","N/A","1"
"1029","T2_image5","Population 2 37","Population 2","1","00:00:00.000","0","Object","32.56","9.65","0.565","0.0299","51","68","58.84","1471","4.83","57","182","137.24","3431","31.09","0","11","3.24","81","2.47","60","126","96.16","2404","14.52","1.01","0.883","N/A","1"
"1031","T2_image5","Population 2 38","Population 2","1","00:00:00.000","0","Object","19.48","10.15","0.425","0.0359","51","81","59.13","1774","6.92","82","155","127.97","3839","17.67","0","6","2.33","70","1.6","53","115","87.87","2636","17.85","0.817","1.11","N/A","1"
