"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0,0,0.08264185073508
1,0,0.000147615762525218,0.0828093392240669
2,0,0.000623565648047814,0.0837627574631483
3,0,0.00215679439846711,0.0872479978388583
4,0,0.00707738835669029,0.0988542610775713
5,0,0.022682027030629,0.136170813486313
6,0,0.0703480743829922,0.251544614415775
7,0,0.200540813731824,0.57515174711584
8,0,0.466806539854225,1.28020697443086
9,0,0.780030216147653,2.20575447389584
10,0,0.96789713356581,2.82948790348036
11,0,1.03693190858062,3.0756215761653
12,0,1.05729752259097,3.15025214960546
13,0,1.06289072614175,3.17091986284191
14,0,1.06439594887588,3.17649500315734
15,0,1.06479880014307,3.17798813646977
16,0,1.0649064558466,3.17838724788407
17,0,1.06493520858921,3.1784938552601
18,0,1.06494289032158,3.17852233944956
19,0,1.06494494111646,3.17852994446076
20,0,1.06494548994013,3.17853197982566
21,0,1.06494563687225,3.17853252477682
22,0,1.0649456749375,3.17853266596733
23,0,1.06494568615676,3.17853270758369
24,0,1.06494568851944,3.17853271634865
25,0,1.06494568940095,3.17853271961896
26,0,1.06494568967875,3.17853272064955
27,0,1.06494568971924,3.17853272079972
28,0,1.06494568969869,3.17853272072349
29,0,1.06494568967668,3.17853272064185
30,0,1.06494568966719,3.17853272060666
31,0,1.06494568967022,3.17853272061792
32,0,1.06494568966441,3.17853272059635
33,0,1.06494568966627,3.17853272060325
34,0,1.06494568965553,3.17853272056344
35,0,1.06494568965807,3.17853272057287
36,0,1.06494568965726,3.17853272056985
37,0,1.06494568966195,3.17853272058723
38,0,1.06494568965318,3.17853272055474
39,0,1.06494568965706,3.17853272056911
40,0,1.06494568965582,3.17853272056451
41,0,1.06494568966298,3.17853272059103
42,0,1.06494568966128,3.17853272058476
43,0,1.06494568966183,3.17853272058676
44,0,1.0649456896587,3.17853272057519
45,0,1.06494568966455,3.17853272059683
46,0,1.06494568966196,3.17853272058725
47,0,1.06494568966279,3.17853272059032
48,0,1.06494568965801,3.17853272057266
49,0,1.06494568966695,3.17853272060567
50,0,1.06494568966299,3.17853272059107
