"Time","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","pH2A_Sgo1_pH3_CPCi","Sum_Inactive"
0,0,0,0.210911378661538,0,0.210911378661538
1,0,0,0.210911378661538,0,0.210911378661538
2,0,0,0.210911378661538,0,0.210911378661538
3,0,0,0.210911378661538,0,0.210911378661538
4,0,0,0.210911378661538,0,0.210911378661538
5,0,0,0.210911378661538,0,0.210911378661538
6,0,0,0.210911378661538,0,0.210911378661538
7,0,0,0.210911378661538,0,0.210911378661538
8,0,0,0.210911378661538,0,0.210911378661538
9,0,0,0.210911378661538,0,0.210911378661538
10,0,0,0.210911378661538,0,0.210911378661538
