"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0.210911378661538,0.783361231587692,0
1,0.210911378661538,0.409079199217786,0.334008365235534
2,0.210911378661538,0.347096630274168,0.3778896571931
3,0.210911378661538,0.335443868608822,0.381529180258279
4,0.210911378661538,0.33251133829702,0.380897554305042
5,0.210911378661538,0.331467745573585,0.380311939083597
6,0.210911378661538,0.330962829136717,0.380015570620691
7,0.210911378661538,0.330636863579111,0.379882432643602
8,0.210911378661538,0.330363201623513,0.379825062086761
9,0.210911378661538,0.330087522574318,0.379800987583644
10,0.210911378661538,0.329782125730528,0.379791136344178
