"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0.27418479226,1.018369601064,0
1,0.27418479226,0.531802958983122,0.434210874806194
2,0.27418479226,0.451225619356418,0.49125655435103
3,0.27418479226,0.436077029191469,0.495987934335763
4,0.27418479226,0.432264739786125,0.495166820596555
5,0.27418479226,0.430908069245661,0.494405520808676
6,0.27418479226,0.430251677877733,0.494020241806898
7,0.27418479226,0.429827922652844,0.493847162436682
8,0.27418479226,0.429472162110567,0.49377258071279
9,0.27418479226,0.429113779346613,0.493741283858738
10,0.27418479226,0.428716763449687,0.493728477247431
