"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa","pH2A_Sgo1_CPCi","pH2A_Sgo1_pH3_CPCi","pH2A_Sgo1_pH3_CPCa","Total"
0,0,0,0,0,0,0,0
1,0.157067066031218,0,0,0,0,0,0.157067066031218
2,0.213135659734518,0,0,0,0,0,0.213135659734518
3,0.219528008400649,0,0,0,0,0,0.219528008400649
4,0.219090910026141,0,0,0,0,0,0.219090910026141
5,0.218419717285409,0,0,0,0,0,0.218419717285409
6,0.218058188181712,0,0,0,0,0,0.218058188181712
7,0.217890620558732,0,0,0,0,0,0.217890620558732
8,0.217816024100251,0,0,0,0,0,0.217816024100251
9,0.217783223741608,0,0,0,0,0,0.217783223741608
10,0.217768848690228,0,0,0,0,0,0.217768848690228
