"Time","Sgo1","pH2A_Sgo1","pH2A_Sgo1_CPCa","Sgo1_CPCa"
0,6.714,0,0,0
1,0.092134372272113,20.9191293714897,0.000242661545559164,1.19506476888389e-06
2,0.0566058024829045,20.3434344096498,0.00785631083038203,5.00034016779773e-05
3,0.0514445337441792,22.3115836860084,0.219222654435978,0.00059545452221213
4,0.0503400202387821,25.0008051259991,0.666941500297383,0.00128099271146516
5,0.0502698310971139,27.5575888917755,0.850737828294874,0.00155268257480342
6,0.0504770849325423,29.7575274959329,1.00675284544697,0.00170468981419058
7,0.0507527976786075,31.583638138604,1.1515922336658,0.00184059577649195
8,0.0510347432695765,33.0773339378138,1.28392226602406,0.00196401859771226
9,0.0513037417340356,34.2919182233989,1.4032427515525,0.00207565390546025
10,0.0515547246822295,35.277478489126,1.50989698648929,0.00217640584285884
11,0.051787253207715,36.0768716472734,1.60466145339139,0.00226723633737189
12,0.0520024637670528,36.7256292012349,1.68852882922309,0.00234909114996311
13,0.0522018620953866,37.2525135623638,1.76254307345301,0.00242284257255645
14,0.0523871101918895,37.6809343967879,1.82774482577991,0.00248930372041609
15,0.0525597340909642,38.0296906842591,1.88511853312672,0.00254921233017817
16,0.0527211945300807,38.314140645457,1.93559208539483,0.00260325673022956
17,0.0528726981045388,38.5461864941255,1.97995554427593,0.00265201227729025
18,0.0530154544957382,38.7360729287246,2.01898458945741,0.00269605847327805
19,0.0531504346295046,38.8916669196935,2.05332865532403,0.00273588046193816
20,0.0532785534309067,39.0194839761904,2.08358599410906,0.00277193901394927
21,0.0534005501394432,39.1232763062216,2.11017873954094,0.00280459039536464
22,0.0535252975188422,39.2181375870384,2.13503661536517,0.00283598089555247
23,0.0536504585895926,39.3129883640355,2.15989276660211,0.00286740709839815
24,0.0537756196935882,39.4078391472288,2.1847489188304,0.00289883330326333
25,0.0539007807854332,39.5026899280065,2.20960507067715,0.00293025950758279
26,0.0540259417893128,39.5975406898569,2.23446121957608,0.00296168570959327
27,0.054151102602062,39.6923914065964,2.25931736155563,0.00299311191089379
28,0.0542762630993182,39.7872420404946,2.28417349103617,0.00302453811981968
29,0.0544014231448475,39.8820925402513,2.3090296006325,0.00305596435569887
30,0.0544344513517293,39.8552456268416,2.31083724022819,0.00306297018044832
31,0.054502157738921,39.8318382383377,2.31171760949481,0.00306837348761876
32,0.054574000231664,39.8117299402563,2.31244271205232,0.00307386903701612
33,0.0546469303852054,39.7949245895746,2.31308805421294,0.00307928372851117
34,0.0547199678215934,39.7812943088107,2.3137006731829,0.00308458379504938
35,0.0547925040905833,39.770621211241,2.31430914241064,0.00308973955267133
36,0.0548642212706309,39.7626731376654,2.31492785344663,0.00309474045618108
37,0.0549349945392527,39.7571097569965,2.31556429542568,0.00309958913400619
38,0.0550046810081578,39.7536410209109,2.31621963715413,0.00310428702209549
39,0.055073679508499,39.7513710920014,2.3168869727305,0.00310889033184093
40,0.0551426723246208,39.7491169396763,2.31755446471856,0.00311349228552819
41,0.0552094637539482,39.7503432649845,2.31826973975764,0.00311783185442112
42,0.0552737600829019,39.7535451290772,2.31900321751653,0.00312191594774483
43,0.0553367187131375,39.7570181053816,2.31973727581348,0.00312589684524865
44,0.0553996772279159,39.7604911127051,2.3204713335138,0.00312987755297133
45,0.0554644855993831,39.7666233329554,2.32122279960505,0.00313386148660465
46,0.05552434209858,39.7731104635408,2.3219621757764,0.00313748816820753
47,0.0555834016966092,39.7799070360699,2.32269121708358,0.00314103710432267
48,0.0556415724241376,39.7868936366929,2.32341420174966,0.00314451697955833
49,0.0556980740396076,39.7943145037456,2.32412129197263,0.00314785393147644
50,0.0557535973982893,39.8019057302941,2.32481616469343,0.00315111097918017
