"Time","Haspina","Plk1a"
0,0,1.840322379
1,7.37527996640013,1.84316917798503
2,7.64725171934912,1.90733254043369
3,8.62567969604989,3.06487571477284
4,9.84845368002925,9.12555797360884
5,10.0193874788362,13.757533710298
6,10.0348142508018,14.2643504546666
7,10.0386336084778,14.2952521723185
8,10.0415317240048,14.2981772965262
9,10.0440845590062,14.2994381427964
10,10.0463328747916,14.3004441684453
11,10.0483020959249,14.301295913686
12,10.0500215230385,14.3020224109775
13,10.0515205727288,14.3026443146439
14,10.0528271425489,14.3031785392394
15,10.0539664892076,14.3036386554701
16,10.0549613689637,14.3040361201655
17,10.0558306647303,14.3043799226649
18,10.0565920719528,14.3046781934879
19,10.0572600683336,14.3049373473019
20,10.0578475743567,14.3051631011832
21,10.0583632614608,14.3053595181038
22,10.0588503690408,14.3055541540599
23,10.0593373432466,14.3057498547494
24,10.059824317523,14.3059455554888
25,10.0603112917692,14.3061412562079
26,10.0607982657578,14.3063369567627
27,10.0612852390833,14.3065326569172
28,10.0617722111012,14.3067283563239
29,10.0622591808558,14.3069240545037
30,10.0622129910263,14.3067958593509
31,10.0622387011873,14.3067883106817
32,10.0622635617221,14.3067834353667
33,10.0622887893819,14.3067790657058
34,10.0623148988744,14.3067752788977
35,10.0623420239824,14.3067718458518
36,10.0623700968827,14.3067686287935
37,10.062398925683,14.3067657108698
38,10.0624283160034,14.3067628897237
39,10.0624579593305,14.3067600061205
40,10.0624876049427,14.3067570733109
41,10.0625178541266,14.3067548083602
42,10.0625480968816,14.3067520864595
43,10.0625782519827,14.3067488330995
44,10.0626084069393,14.3067455541811
45,10.0626376438744,14.3067448845483
46,10.0626663363395,14.3067423756152
47,10.062694476484,14.3067397051595
48,10.062722350089,14.3067372539821
49,10.0627493327585,14.3067346174267
50,10.0627757560681,14.3067319759587
