"Time","CPCa","pH2A_Sgo1_CPCa","H3_CPCa","pH3_CPCa","Sgo1_CPCa","CPCi","pH2A_Sgo1_CPCi","H3_CPCi","pH3_CPCi","Sgo1_CPCi"
0,0,0,0,0,0,4.52,0,0,0,0
1,1.59761681645681e-06,0.000242661545559164,0.00189648790605091,2.7055495059611e-05,1.19506476888389e-06,0.00370955647016592,0.399512256216831,4.31475868836287,0.0481948123480508,0.00176389728821437
2,5.14158653658653e-05,0.00785631083038203,0.0453041845196981,0.00252314694699251,5.00034016779773e-05,0.0036057374844519,0.486571592408525,4.1036968500611,0.165915788421699,0.00133178917812541
3,0.00079733863017022,0.219222654435978,1.04137845691031,0.0953913293642796,0.00059545452221213,0.00281399847783285,0.425847084841999,2.96228250726112,0.201932656835628,0.000900167406083039
4,0.00247539236787258,0.666941500297383,3.03544991308506,0.342230630300322,0.00128099271146516,0.00109855658656024,0.157985858031146,0.843137758786199,0.0855468550180409,0.000390391174586461
5,0.00288288741058958,0.850737828294874,3.14413478994255,0.467892266285475,0.00155268257480342,0.000660566070888514,0.158218656357769,0.627642848663864,0.0882726947153338,0.000300045828140979
6,0.00288675295176551,1.00675284544697,3.10496660264237,0.567676259892738,0.00170468981419058,0.0006333711531294,0.17808516624835,0.585064333355774,0.101615148968165,0.000318796503503471
7,0.00287945144762855,1.1515922336658,3.07606618485106,0.651651841046792,0.00184059577649195,0.00062365561296533,0.195702979134939,0.5549974666875,0.111951053005152,0.000339062638318761
8,0.00287494382572761,1.28392226602406,3.05819460851426,0.721310232193599,0.00196401859771226,0.000616090736079419,0.210572130333249,0.531148070625178,0.119470075291798,0.000356971266956739
9,0.00287270856223122,1.4032427515525,3.04778488820917,0.778812543072056,0.00207565390546025,0.000609935913937755,0.223086371452147,0.512078557193618,0.124922593764151,0.000372715311598837
