"Time","pH2A_Sgo1_CPCi","Sgo1_CPCi"
0,0,0
1,2.76302233820568,0.00175342058288255
2,2.54957309893563,0.00133893764640033
3,0.544307523927336,0.000888211210029458
4,0.408865355262787,0.000389176354817302
5,0.395441585768394,0.000299300429713203
6,0.406850384607865,0.000317562087221766
7,0.418565718801265,0.000337412551349548
8,0.429242211347986,0.000355002555016349
9,0.438783954079227,0.000370507317689655
10,0.447212722125554,0.000384213637786209
11,0.454600787245031,0.000396377282853269
12,0.461045271304859,0.000407216862574907
13,0.466649179837384,0.000416913583722869
14,0.471513446364409,0.000425619516822577
15,0.475731671902655,0.000433461831458277
16,0.479389311015865,0.000440549631082403
17,0.482558285710603,0.000446969891394194
18,0.485305809405,0.000452803727786111
19,0.487687776209254,0.000458117081070368
20,0.489754032211724,0.00046296957054958
21,0.491538860913292,0.000467405170761864
22,0.49321367525253,0.00047165073611653
23,0.494888212916219,0.000475897624443556
24,0.496562750824272,0.000480144512697162
25,0.49823728862465,0.000484391401013224
26,0.499911825482873,0.000488638290086208
27,0.501586359857835,0.000492885181605749
28,0.503260889230405,0.000497132078806554
29,0.504935409777907,0.000501378987144412
30,0.50404314567762,0.00050305056815414
31,0.503802917505092,0.000504251776584463
32,0.503595025755076,0.000505441216503507
33,0.503411448157267,0.000506597580844731
34,0.503245782474931,0.000507715687519167
35,0.503093050130922,0.000508795121754054
36,0.502949897498529,0.000509836653387693
37,0.502813278395909,0.000510842978010844
38,0.502681373283467,0.000511816101224456
39,0.502551657122504,0.000512769454202695
40,0.502421969726931,0.000513722642238178
41,0.502294200261336,0.000514621059069501
42,0.50216884635551,0.000515449712001318
43,0.502043939062799,0.000516217890768319
44,0.501919031195902,0.000516986284419542
45,0.501792662863907,0.000517957171184272
46,0.501668042851245,0.000518718541587469
47,0.501544007621545,0.000519467755689866
48,0.501420242650949,0.000520198276860822
49,0.501297246752007,0.000520904316823119
50,0.501175070332037,0.00052159517094139
