"Time","pH3_CPCi"
0,0
1,0.0481948123480508
2,0.165915788421699
3,0.201932656835628
4,0.0855468550180409
5,0.0882726947153338
6,0.101615148968165
7,0.111951053005152
8,0.119470075291798
9,0.124922593764151
10,0.128902778522405
11,0.131838463182804
12,0.134030619290893
13,0.135689491937254
14,0.136963767238594
15,0.137958425320816
16,0.138749193304117
17,0.139389278490693
18,0.139919053395556
19,0.140366798959997
20,0.140753531771864
21,0.141089710852709
22,0.141416171440634
23,0.141742589960077
24,0.142069008522231
25,0.142395427065565
26,0.142721845444241
27,0.143048263389023
28,0.143374680459989
29,0.143701095989868
30,0.143543519378096
31,0.143564333981753
32,0.143636402122459
33,0.143746522176271
34,0.143883492465126
35,0.144038646369664
36,0.144206147690678
37,0.144380913206321
38,0.144559924725044
39,0.144740291610817
40,0.144920672032071
41,0.145100068234804
42,0.145277304118909
43,0.145453879032403
44,0.145630453809895
45,0.145795940306437
46,0.145958651427402
47,0.146118354298046
48,0.146275967772349
49,0.146427897674032
50,0.146576516350177
