"Time","CPCa","pH2A_Sgo1_CPCa","H3_CPCa","pH3_CPCa","Sgo1_CPCa","CPCi","pH2A_Sgo1_CPCi","H3_CPCi","pH3_CPCi","Sgo1_CPCi"
0,0,0,0,0,0,4.52,0,0,0,0
1,1.7106030853575e-06,0.0036489102798511,0.00488597142813783,1.05070959551688e-10,1.21304220087809e-06,0.00366741618006842,2.76302233820568,4.34140936865115,8.86240232059165e-08,0.00175342058288255
2,7.14672198799579e-05,0.399142556915532,0.486156245702924,1.19942556991501e-06,5.47735760751523e-05,0.00355966876742313,2.54957309893563,3.77556683907993,8.47494918004489e-06,0.00133893764640033
3,0.000898324962095351,2.56162024608715,3.32519520838166,6.51360766201434e-05,0.000622642746514959,0.00270012600582399,0.544307523927336,0.87226809878989,1.3508612530909e-05,0.000888211210029458
4,0.00247267862493601,2.85885902268476,3.58674683863504,0.000229581763011069,0.00129502081320677,0.00109773767486803,0.408865355262787,0.559805974658963,3.02211006369597e-05,0.000389176354817302
5,0.00289086347059271,3.04155040328421,3.61508220336671,0.000498123500474169,0.00156251937209086,0.000655440098706431,0.395441585768394,0.489930890921036,6.15686277349701e-05,0.000299300429713203
6,0.00289650402962625,3.20270819930639,3.59697899916735,0.00084955435653306,0.00171143726410525,0.000630211016945102,0.406850384607865,0.473877792054086,0.000102198266387625,0.000317562087221766
7,0.00288913456705418,3.36159710902641,3.58173370365585,0.00125377092137237,0.00184470527914138,0.000622373959089517,0.418565718801265,0.461386927576998,0.000147255680261827,0.000337412551349548
8,0.00288379901839752,3.51526228825492,3.57084359843411,0.00168158815205821,0.00196596445456942,0.000616235328739269,0.429242211347986,0.450182930265802,0.000193143852196518,0.000355002555016349
9,0.00288039637629941,3.66084029149893,3.56354397998777,0.00210763173939991,0.00207586824786478,0.000611157482771108,0.438783954079227,0.440222692511218,0.000237121266963016,0.000370507317689655
10,0.00287846646986871,3.79655312134806,3.55907429720053,0.00251135880594376,0.00217525386952346,0.000606938888729577,0.447212722125554,0.431454631109847,0.000277224126349711,0.000384213637786209
11,0.002877620787855,3.92149245521118,3.55676604966466,0.00287748580673019,0.00226501602793487,0.0006034226807805,0.454600787245031,0.423788404621566,0.000312191797205874,0.000396377282853269
12,0.00287755285870928,4.03540930030001,3.55605840552296,0.00319608922350948,0.00234604218072344,0.000600481459179528,0.461045271304859,0.417114260816007,0.00034137963209664,0.000407216862574907
13,0.00287802621218455,4.13847813077328,3.55650040211588,0.00346183984873692,0.00241915627840277,0.000598013759937747,0.466649179837384,0.411319967178857,0.000364609759780401,0.000416913583722869
14,0.00287886545210748,4.23116151360483,3.5577357537317,0.00367320021925015,0.00248513249881098,0.0005959361075405,0.471513446364409,0.406297471205682,0.000382047554158891,0.000425619516822577
15,0.00287993580494479,4.31409474211272,3.55949333202207,0.00383154403712729,0.00254467693524838,0.00059418259706058,0.475731671902655,0.401947563200632,0.000394091780460829,0.000433461831458277
16,0.00288114019007712,4.38802376246726,3.56156763004515,0.00394035478654038,0.00259845290593949,0.000592698129053295,0.479389311015865,0.398180185899013,0.000401287591322729,0.000440549631082403
17,0.00288240810803915,4.45366101699997,3.56381056397777,0.00400399290729535,0.00264701629084402,0.000591439792184313,0.482558285710603,0.394919738695992,0.000404210087459652,0.000446969891394194
18,0.00288368848075957,4.51180189531563,3.56611024118548,0.00402799785373796,0.00269093016601406,0.000590369921161805,0.485305809405,0.392095846822613,0.000403498555813667,0.000452803727786111
