"Time","Haspina","Plk1a"
0,0,1.840322379
1,0,1.84317202132533
2,0,1.90772419975443
3,0,3.06679224891524
4,0,9.12594531367175
5,0,13.7578654913128
6,0,14.2645768221324
7,0,14.2953957816877
8,0,14.29824814054
9,0,14.2994459710325
10,0,14.3003981538172
11,0,14.3012043125003
12,0,14.3018923973776
13,0,14.3024820130032
14,0,14.3029890947364
15,0,14.3034263619126
16,0,14.3038045431447
17,0,14.3041320306049
18,0,14.3044164088182
19,0,14.3046637170127
20,0,14.304879172124
21,0,14.3050665094866
22,0,14.3052524974603
23,0,14.3054391420908
24,0,14.3056257867376
25,0,14.3058124313777
26,0,14.3059990759604
27,0,14.3061857203972
28,0,14.3063723645483
29,0,14.3065590082089
30,0,14.3064370893019
31,0,14.3064288518464
32,0,14.3064231484083
33,0,14.3064180075438
34,0,14.3064132892868
35,0,14.3064088452061
36,0,14.306404639536
37,0,14.3064004901711
38,0,14.3063964187218
39,0,14.3063921009665
40,0,14.3063876800421
41,0,14.3063845737241
42,0,14.306383711655
43,0,14.3063888120426
44,0,14.3063938977774
45,0,14.3063691643007
46,0,14.3063652814329
47,0,14.3063593159584
48,0,14.3063574606016
49,0,14.3063534793286
50,0,14.3063495232071
