"Time","Haspini","Plk1i"
0,0,16.562901411
1,0,16.5600517686747
2,0,16.4954995902462
3,0,15.3364315410847
4,0,9.27727847632835
5,0,4.64535829868737
6,0,4.13864696786906
7,0,4.10782800831634
8,0,4.10497564945845
9,0,4.10377781896456
10,0,4.10282563618071
11,0,4.10201947749961
12,0,4.10133139262404
13,0,4.10074177699522
14,0,4.10023469526368
15,0,4.09979742808746
16,0,4.09941924685533
17,0,4.09909175939504
18,0,4.09880738118196
19,0,4.09856007299165
20,0,4.09834461788057
21,0,4.09815728054715
22,0,4.09797129331563
23,0,4.09778464948836
24,0,4.09759800564476
25,0,4.09741136180798
26,0,4.09722471802844
27,0,4.09703807439491
28,0,4.09685143104707
29,0,4.09666478818968
30,0,4.0967867006993
31,0,4.09679493815137
32,0,4.09680064160469
33,0,4.09680578245572
34,0,4.09681050071319
35,0,4.09681494479391
36,0,4.09681915047641
37,0,4.0968232998218
38,0,4.09682737133231
39,0,4.09683168898783
40,0,4.09683610986118
41,0,4.09683921627975
42,0,4.09684006631105
43,0,4.09683492954597
44,0,4.09682980752385
45,0,4.09685462569959
46,0,4.09685850857376
47,0,4.09686447251374
48,0,4.09686632953767
49,0,4.09687031067067
50,0,4.09687426677895
