"Time","Bub1a","pKnl1","pKnl1_Bub1a","Bub1a_his"
0,4.597,0,0,0
1,1.59003878352298,217.984186884122,10.0264343071727,164.633489059173
2,1.46128785746367,219.397060100051,9.21289138703932,151.450601931942
3,1.45884779962743,219.973718796975,9.22118955441849,150.716282797914
4,1.45259174880217,221.432475499755,9.24264269821788,151.00476214772
5,1.44883387476744,222.106589232481,9.24698288036597,151.151771581255
6,1.44802056846211,222.249819468294,9.24774731947454,151.174808760071
7,1.44766286520482,222.324433681462,9.24856864542754,151.189877917265
8,1.4474094309037,222.378610297107,9.249205287607,151.201600513489
9,1.44722125573732,222.418882692854,9.24967955390602,151.210288013747
10,1.44708148362121,222.448801077643,9.25003187123481,151.216657923305
11,1.44697746406775,222.47108496815,9.25029466842205,151.221331487488
12,1.44689953199982,222.487805432169,9.25049249366095,151.224782090144
13,1.44684052920746,222.500490976391,9.25064332825189,151.227356455828
14,1.44679522228978,222.510255784204,9.25076011487762,151.229304222255
15,1.44675988466172,222.517892292651,9.25085202904199,151.230800997226
16,1.44673184250502,222.523968420246,9.25092562727128,151.23197108068
17,1.44670925692499,222.528874802076,9.2509854197757,151.232898912923
18,1.4466907553485,222.532903085083,9.2510347744128,151.233646718596
19,1.44667540529152,222.536251837741,9.25107599721991,151.234256175351
20,1.44666251827736,222.539067922522,9.25111079883975,151.234757752678
21,1.44665173543418,222.541428065546,9.25114007494121,151.235167060547
22,1.44664166972541,222.543633981661,9.25116797141322,151.235547288028
23,1.44663160498803,222.545838796041,9.25119584497996,151.235927474897
24,1.44662154024995,222.548043610703,9.25122371855942,151.236307661781
25,1.44661147551216,222.550248425245,9.25125159213361,151.236687848659
26,1.44660141077661,222.552453238783,9.25127946566408,151.237068035487
27,1.44659134604657,222.554658049776,9.25130733908443,151.23744822219
28,1.44658128132698,222.556862855826,9.25133521229135,151.237828408657
29,1.44657121662481,222.559067653459,9.25136308513398,151.238208594733
30,1.44657460482651,222.55829577033,9.25134897628522,151.237971823205
31,1.4465766373345,222.557875327102,9.25134451432748,151.237821288571
32,1.44657798665281,222.557587648969,9.25134121670503,151.237695405231
33,1.44657897887358,222.557374199298,9.25133872296599,151.237582235722
34,1.44657973704449,222.557210016494,9.25133678544642,151.237477913438
35,1.44658033794177,222.557079033643,9.25133522434838,151.237379997284
36,1.44658082899996,222.556971234678,9.25133392523396,151.23728702661
37,1.44658124941188,222.556878298397,9.25133279416231,151.237197798619
38,1.44658162213832,222.556795541261,9.25133177663544,151.237111613985
39,1.44658197323362,222.556717289695,9.25133079478414,151.23702712322
40,1.44658232478243,222.556639090745,9.25132981185009,151.236942650972
41,1.44658262802563,222.556570066894,9.25132896696268,151.236862428778
42,1.44658279416422,222.556504130476,9.2513282745871,151.236784808176
43,1.44658271138332,222.556437502252,9.25132787814808,151.236707418864
44,1.44658262958603,222.556370876975,9.2513274788757,151.236630029583
45,1.44658380837794,222.556302355373,9.2513255463735,151.236557491358
46,1.44658411859894,222.556232043808,9.25132464356259,151.236485457454
47,1.44658441051417,222.556160464543,9.25132362793609,151.236414601319
48,1.44658475153996,222.55608887915,9.25132280815378,151.236344244427
49,1.44658507246698,222.55601615072,9.25132187490044,151.236275815075
50,1.44658539586322,222.555943011833,9.25132093765385,151.236208536105
