"Time","CPCi","pH2A_Sgo1_CPCi","H3_CPCi","pH3_CPCi","Sgo1_CPCi","Sum_Inactive"
0,4.52,0,0,0,0,4.52
1,0.00366741618006842,2.76302233820568,4.34140936865115,8.86240232059165e-08,0.00175342058288255,7.10985263224381
2,0.00355966876742313,2.54957309893563,3.77556683907993,8.47494918004489e-06,0.00133893764640033,6.33004701937856
3,0.00270012600582399,0.544307523927336,0.87226809878989,1.3508612530909e-05,0.000888211210029458,1.42017746854561
4,0.00109773767486803,0.408865355262787,0.559805974658963,3.02211006369597e-05,0.000389176354817302,0.970188465052072
5,0.000655440098706431,0.395441585768394,0.489930890921036,6.15686277349701e-05,0.000299300429713203,0.886388785845584
6,0.000630211016945102,0.406850384607865,0.473877792054086,0.000102198266387625,0.000317562087221766,0.881778148032505
7,0.000622373959089517,0.418565718801265,0.461386927576998,0.000147255680261827,0.000337412551349548,0.881059688568964
8,0.000616235328739269,0.429242211347986,0.450182930265802,0.000193143852196518,0.000355002555016349,0.88058952334974
9,0.000611157482771108,0.438783954079227,0.440222692511218,0.000237121266963016,0.000370507317689655,0.880225432657869
10,0.000606938888729577,0.447212722125554,0.431454631109847,0.000277224126349711,0.000384213637786209,0.879935729888267
11,0.0006034226807805,0.454600787245031,0.423788404621566,0.000312191797205874,0.000396377282853269,0.879701183627436
12,0.000600481459179528,0.461045271304859,0.417114260816007,0.00034137963209664,0.000407216862574907,0.879508610074717
13,0.000598013759937747,0.466649179837384,0.411319967178857,0.000364609759780401,0.000416913583722869,0.879348684119681
14,0.0005959361075405,0.471513446364409,0.406297471205682,0.000382047554158891,0.000425619516822577,0.879214520748613
15,0.00059418259706058,0.475731671902655,0.401947563200632,0.000394091780460829,0.000433461831458277,0.879100971312266
16,0.000592698129053295,0.479389311015865,0.398180185899013,0.000401287591322729,0.000440549631082403,0.879004032266337
17,0.000591439792184313,0.482558285710603,0.394919738695992,0.000404210087459652,0.000446969891394194,0.878920644177633
18,0.000590369921161805,0.485305809405,0.392095846822613,0.000403498555813667,0.000452803727786111,0.878848328432374
19,0.000589458567396505,0.487687776209254,0.389650007259829,0.000399743085633556,0.000458117081070368,0.878785102203184
20,0.000588680386815576,0.489754032211724,0.387530132237188,0.00039350263453574,0.00046296957054958,0.878729317040813
21,0.000588011067422154,0.491538860913292,0.385700263939006,0.000385115397202874,0.000467405170761864,0.878679656487685
22,0.000587336702331065,0.49321367525253,0.383985266500279,0.000376182916162321,0.00047165073611653,0.878634112107419
23,0.000586648013437459,0.494888212916219,0.382270552750476,0.000367248124730025,0.000475897624443556,0.878588559429306
24,0.000585959324414572,0.496562750824272,0.380555838772557,0.000358313334023999,0.000480144512697162,0.878543006767964
25,0.000585270635441863,0.49823728862465,0.378841124896156,0.000349378543112157,0.000484391401013224,0.878497454100374
26,0.000584581946859996,0.499911825482873,0.377126411915347,0.000340443751202962,0.000488638290086208,0.878451901386369
27,0.000583893259204425,0.501586359857835,0.375411701311317,0.000331508958401517,0.000492885181605749,0.878406348568364
28,0.000583204573242357,0.503260889230405,0.373696995523253,0.000322574166717968,0.000497132078806554,0.878360795572425
29,0.000582515890014537,0.504935409777907,0.371982298274383,0.00031363938135206,0.000501378987144412,0.878315242310801
30,0.000583392909277296,0.50404314567762,0.37288166922598,0.000298636806701967,0.00050305056815414,0.878309895187734
31,0.000583490742451026,0.503802917505092,0.373119039001392,0.000283546118414675,0.000504251776584463,0.878293245143934
32,0.000583574915446766,0.503595025755076,0.373324342147833,0.000269356167082007,0.000505441216503507,0.878277740201941
33,0.000583652066659474,0.503411448157267,0.373504854557776,0.000256037888970633,0.000506597580844731,0.878262590251518
34,0.00058372064707663,0.503245782474931,0.373666793816613,0.000243545665335451,0.000507715687519167,0.878247558291475
35,0.000583783311455084,0.503093050130922,0.373815129583122,0.000231829027969228,0.000508795121754054,0.878232587175222
36,0.000583841014026337,0.502949897498529,0.373953272621575,0.000220844898526221,0.000509836653387693,0.878217692686045
37,0.000583894786454922,0.502813278395909,0.374084327179055,0.000210529737954906,0.000510842978010844,0.878202873077385
38,0.00058394509120921,0.502681373283467,0.37421019542253,0.000200831185154493,0.000511816101224456,0.878188161083585
39,0.000583995977663523,0.502551657122504,0.374333682226547,0.000191503180418038,0.000512769454202695,0.878173607961335
40,0.000584046101113638,0.502421969726931,0.374457143849649,0.000182180138728173,0.000513722642238178,0.87815906245866
41,0.000584089030329145,0.502294200261336,0.374577461161114,0.000173952318588866,0.000514621059069501,0.878144323830437
42,0.000584135865320672,0.50216884635551,0.374695196531448,0.000166463565467336,0.000515449712001318,0.878130092029747
43,0.000584192021604358,0.502043939062799,0.374812520351233,0.000159102146322797,0.000516217890768319,0.878115971472727
44,0.000584248139066294,0.501919031195902,0.374929844361903,0.000151740743695095,0.000516986284419542,0.878101850724985
45,0.000584252875416169,0.501792662863907,0.375047659188371,0.000145612954583023,0.000517957171184272,0.878088145053461
46,0.000584290540656266,0.501668042851245,0.375163967951858,0.000139810110435095,0.000518718541587469,0.878074829995782
47,0.000584335238982471,0.501544007621545,0.375279581977344,0.000134293637894562,0.000519467755689866,0.878061686231456
48,0.000584364581694371,0.501420242650949,0.375394944185342,0.000128954490798296,0.000520198276860822,0.878048704185645
49,0.000584400372377951,0.501297246752007,0.375509437186756,0.000124066564155853,0.000520904316823119,0.878036055192119
50,0.000584435752002101,0.501175070332037,0.375623099241905,0.000119431363277856,0.00052159517094139,0.878023631860163
