"Time","Haspina","Haspini","Plk1a","Plk1i"
0,0,0,1.840322379,16.562901411
1,0,0,1.84317202132533,16.5600517686747
2,0,0,1.90772419975443,16.4954995902462
3,0,0,3.06679224891524,15.3364315410847
4,0,0,9.12594531367175,9.27727847632835
5,0,0,13.7578654913128,4.64535829868737
6,0,0,14.2645768221324,4.13864696786906
7,0,0,14.2953957816877,4.10782800831634
8,0,0,14.29824814054,4.10497564945845
9,0,0,14.2994459710325,4.10377781896456
10,0,0,14.3003981538172,4.10282563618071
11,0,0,14.3012043125003,4.10201947749961
12,0,0,14.3018923973776,4.10133139262404
13,0,0,14.3024820130032,4.10074177699522
14,0,0,14.3029890947364,4.10023469526368
15,0,0,14.3034263619126,4.09979742808746
16,0,0,14.3038045431447,4.09941924685533
17,0,0,14.3041320306049,4.09909175939504
18,0,0,14.3044164088182,4.09880738118196
19,0,0,14.3046637170127,4.09856007299165
20,0,0,14.304879172124,4.09834461788057
21,0,0,14.3050665094866,4.09815728054715
22,0,0,14.3052524974603,4.09797129331563
23,0,0,14.3054391420908,4.09778464948836
24,0,0,14.3056257867376,4.09759800564476
25,0,0,14.3058124313777,4.09741136180798
26,0,0,14.3059990759604,4.09722471802844
27,0,0,14.3061857203972,4.09703807439491
28,0,0,14.3063723645483,4.09685143104707
29,0,0,14.3065590082089,4.09666478818968
30,0,0,14.3064370893019,4.0967867006993
31,0,0,14.3064288518464,4.09679493815137
32,0,0,14.3064231484083,4.09680064160469
33,0,0,14.3064180075438,4.09680578245572
34,0,0,14.3064132892868,4.09681050071319
35,0,0,14.3064088452061,4.09681494479391
36,0,0,14.306404639536,4.09681915047641
37,0,0,14.3064004901711,4.0968232998218
38,0,0,14.3063964187218,4.09682737133231
39,0,0,14.3063921009665,4.09683168898783
40,0,0,14.3063876800421,4.09683610986118
41,0,0,14.3063845737241,4.09683921627975
42,0,0,14.306383711655,4.09684006631105
43,0,0,14.3063888120426,4.09683492954597
44,0,0,14.3063938977774,4.09682980752385
45,0,0,14.3063691643007,4.09685462569959
46,0,0,14.3063652814329,4.09685850857376
47,0,0,14.3063593159584,4.09686447251374
48,0,0,14.3063574606016,4.09686632953767
49,0,0,14.3063534793286,4.09687031067067
50,0,0,14.3063495232071,4.09687426677895
