"Time","Bub1a","pKnl1","pKnl1_Bub1a","Bub1a_his"
0,4.597,0,0,0
1,1.60514227058696,0,0,0.79324861977259
2,1.47583860012626,0,0,2.81835510375649
3,1.47361932117601,0,0,3.0353640005686
4,1.4674091300133,0,0,3.0448615726135
5,1.46364671159911,0,0,3.05019192833938
6,1.46283383756344,0,0,3.05286175413276
7,1.4624774478607,0,0,3.05359415048869
8,1.46222492617704,0,0,3.05393788150085
9,1.46203739971767,0,0,3.05417996789306
10,1.46189810352932,0,0,3.05435974341793
11,1.46179443533687,0,0,3.05449328118303
12,1.46171676463653,0,0,3.05459266453339
13,1.46165795845975,0,0,3.05466709779821
14,1.46161280291582,0,0,3.05472344705533
15,1.46157758320765,0,0,3.05476665974927
16,1.46154963454865,0,0,3.05480031091869
17,1.46152712414503,0,0,3.05482686536587
18,1.4615086838722,0,0,3.05484816025074
19,1.46149338431661,0,0,3.05486543870657
20,1.46148053911427,0,0,3.05487961207388
21,1.46146979114076,0,0,3.05489114577357
22,1.4614597557061,0,0,3.0549017926183
23,1.46144972171118,0,0,3.05491243836755
24,1.46143968771563,0,0,3.05492308411826
25,1.46142965372033,0,0,3.0549337298684
26,1.46141961972712,0,0,3.05494437561388
27,1.46140958573907,0,0,3.05495502134809
28,1.46139955176079,0,0,3.05496566706125
29,1.46138951779887,0,0,3.05497631273972
30,1.46139289200543,0,0,3.05497161754519
31,1.46139491309681,0,0,3.05496731155283
32,1.46139625167522,0,0,3.05496404237554
33,1.46139723313051,0,0,3.05496135974504
34,1.46139798165425,0,0,3.05495901357381
35,1.46139857338216,0,0,3.05495689681503
36,1.46139905560025,0,0,3.05495495234284
37,1.46139946762286,0,0,3.05495313459417
38,1.46139983146201,0,0,3.05495141651177
39,1.46140017316292,0,0,3.05494975105304
40,1.46140051446776,0,0,3.05494808625268
41,1.46140081386528,0,0,3.05494655560968
42,1.46140109369351,0,0,3.05494510011026
43,1.46140136904595,0,0,3.05494366086692
44,1.46140164432108,0,0,3.05494222162486
45,1.46140196482975,0,0,3.05494085391661
46,1.46140226809193,0,0,3.05493952179552
47,1.46140258317762,0,0,3.05493821123142
48,1.46140288725216,0,0,3.05493691186705
49,1.46140320163547,0,0,3.05493564729406
50,1.46140351857392,0,0,3.05493440380485
