"Time","pH2A_Sgo1_CPCi"
0,0
1,2.76302233820568
2,2.54957309893563
3,0.544307523927336
4,0.408865355262787
5,0.395441585768394
6,0.406850384607865
7,0.418565718801265
8,0.429242211347986
9,0.438783954079227
10,0.447212722125554
11,0.454600787245031
12,0.461045271304859
13,0.466649179837384
14,0.471513446364409
15,0.475731671902655
16,0.479389311015865
17,0.482558285710603
18,0.485305809405
19,0.487687776209254
20,0.489754032211724
21,0.491538860913292
22,0.49321367525253
23,0.494888212916219
24,0.496562750824272
25,0.49823728862465
26,0.499911825482873
27,0.501586359857835
28,0.503260889230405
29,0.504935409777907
30,0.50404314567762
31,0.503802917505092
32,0.503595025755076
33,0.503411448157267
34,0.503245782474931
35,0.503093050130922
36,0.502949897498529
37,0.502813278395909
38,0.502681373283467
39,0.502551657122504
40,0.502421969726931
41,0.502294200261336
42,0.50216884635551
43,0.502043939062799
44,0.501919031195902
45,0.501792662863907
46,0.501668042851245
47,0.501544007621545
48,0.501420242650949
49,0.501297246752007
50,0.501175070332037
