"Time","H3","H2A"
0,340,340
1,319.858100336285,277.088456582305
2,310.6014702178,242.657287038931
3,305.919224308434,217.915689278323
4,300.286543136046,204.886647364287
5,296.902102410894,196.87134819292
6,295.416466283497,191.019289554557
7,294.718646750359,186.344072525489
8,294.322055415787,182.441247701819
9,294.049759999306,179.107667650933
10,293.837004484451,176.221541758251
11,293.658535401093,173.698154633098
12,293.503362352742,171.473015368547
13,293.365884403008,169.495533074257
14,293.242691683904,167.724812770351
15,293.131422855867,166.127839084475
16,293.03025802594,164.677258702834
17,292.937805373174,163.351756878228
18,292.852860440825,162.132394914752
19,292.774461068528,161.004376745216
20,292.701768797691,159.954951233037
21,292.634184556161,158.975662702973
22,292.569147166485,158.02852394946
23,292.504112311138,157.081420365174
24,292.439077452953,156.134316761021
25,292.374042596076,155.187213164517
26,292.309007750968,154.240109627242
27,292.243972937465,153.29300622956
28,292.17893818836,152.34590308554
29,292.113903553583,151.398800348241
30,292.133446861367,150.840974514779
31,292.113727579364,150.306063005344
32,292.084655442845,149.788144096955
33,292.053564660858,149.283602383186
34,292.022462154698,148.79066352667
35,291.991984636226,148.308327432188
36,291.962304683668,147.836111069648
37,291.933472282816,147.373425486899
38,291.905462213327,146.919849673042
39,291.877990013297,146.471907256655
40,291.850524834505,146.02404140531
41,291.825624883486,145.591542904487
42,291.801163141916,145.171005819127
43,291.776796229882,144.752889414346
44,291.752429357127,144.334773318045
45,291.730415154675,143.938698916356
46,291.70837540214,143.549946472165
47,291.686761767188,143.16793573396
48,291.665497553698,142.79014937517
49,291.645112800916,142.423171285435
50,291.625120326947,142.062848934897
