"Time","H3","H2A"
0,340,340
1,335.65369442294,0.808194495061652
2,335.737879808222,0.872001287048123
3,335.801021179351,0.892842953402345
4,335.850765398358,0.897346128575576
5,335.891547784561,0.895081652128709
6,335.92527531667,0.889080896556896
7,335.952722958077,0.880712368846096
8,335.974566375877,0.871234263672823
9,335.991578337333,0.861408989947513
10,336.00456602691,0.851671719817958
11,336.014296343647,0.842261695783978
12,336.021452618791,0.833299312136194
13,336.026610442619,0.824835331808428
14,336.030243447652,0.816879875503933
15,336.032727102422,0.80941919431333
16,336.034358230451,0.802426528973598
17,336.035359181549,0.795871560561655
18,336.035908390247,0.789718885875177
19,336.036134830905,0.783935179171949
20,336.036135761168,0.778487201671035
21,336.035957644779,0.773348511887975
22,336.035755013645,0.768354186483006
23,336.035552345507,0.763363692506869
24,336.035349677492,0.758373197351548
25,336.035147009428,0.753382702798246
26,336.034944340968,0.748392213958805
27,336.034741671544,0.743401740832437
28,336.034539000313,0.738411299924489
29,336.034336326101,0.733420915900542
30,336.033390297602,0.73227058069758
31,336.032684238156,0.729442428413061
32,336.032157917039,0.726678688430884
33,336.031767876942,0.723977353645583
34,336.031481648421,0.721340119106261
35,336.031274328222,0.718768777559733
36,336.031129033807,0.716264015591754
37,336.03103002839,0.71382467767036
38,336.030967133108,0.711449119784301
39,336.03092276563,0.709114101216707
40,336.030878633245,0.706779764598452
41,336.030879975685,0.704594322422185
42,336.030904760968,0.702456377830054
43,336.030932126923,0.700329570135287
44,336.030959493095,0.698202827378656
45,336.031006267479,0.696288356881075
46,336.031054907463,0.694369013489262
47,336.031104585136,0.692480812657263
48,336.031154670789,0.690649857951439
49,336.031204947053,0.688869149122488
50,336.031254779005,0.687129296126015
