"Time","pH2A_Sgo1_CPCi","Sgo1_CPCi"
0,0,0
1,0.399512256216831,0.00176389728821437
2,0.486571592408525,0.00133178917812541
3,0.425847084841999,0.000900167406083039
4,0.157985858031146,0.000390391174586461
5,0.158218656357769,0.000300045828140979
6,0.17808516624835,0.000318796503503471
7,0.195702979134939,0.000339062638318761
8,0.210572130333249,0.000356971266956739
9,0.223086371452147,0.000372715311598837
10,0.233637130018261,0.000386599777716063
11,0.242559024279732,0.000398895311269956
12,0.250129770503211,0.000409831828385948
13,0.256575026644622,0.000419598844944888
14,0.262079625085545,0.000428354801987693
15,0.266794599184217,0.000436231406618947
16,0.270845612471131,0.000443341313286411
17,0.274332228560557,0.000449774064596365
18,0.27734222442446,0.000455612859369078
19,0.279945925841749,0.000460925199680478
20,0.282203832290291,0.000465771939654167
21,0.284155431566122,0.00047019784205272
22,0.285993115636338,0.000474436740204055
23,0.28783052569188,0.000478677187958317
24,0.289667935985103,0.000482917635641415
25,0.291505346174394,0.000487158083386136
26,0.293342755459568,0.000491398531880741
27,0.295180162372477,0.000495638982801967
28,0.297017564523487,0.000499879439358781
29,0.298854958297201,0.000504119906958926
30,0.298218806831092,0.000505696624882059
31,0.298252539551146,0.000506872705911319
32,0.298269869866278,0.000508038349665641
33,0.29827570046818,0.000509169089885675
34,0.298274140953699,0.000510262725987337
35,0.298268383856356,0.000511317902145284
36,0.298260540903446,0.000512335380738634
37,0.298252277554328,0.000513318240474852
38,0.298244442519747,0.000514268248412717
39,0.298237240814846,0.000515199332862268
40,0.298230049766783,0.000516130338625161
41,0.298226819792192,0.000517005573040223
42,0.298226098911796,0.000517832859541693
43,0.298225781639136,0.000518639745313889
44,0.298225464383374,0.000519446662224667
45,0.298230419586874,0.000520259218378412
46,0.298235826602584,0.000521001647159501
47,0.298241610999734,0.000521730368254485
48,0.298247711349249,0.000522444434752647
49,0.298254641348658,0.000523132975764296
50,0.298261838766585,0.000523806626331001
