"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa"
0,0,0,0
1,168.298609155339,145.048106661509,0.0036489102798511
2,182.623423453903,121.778841646773,0.399142556915532
3,190.426971804237,107.852903994322,2.56162024608715
4,194.136954137645,99.3738928132441,2.85885902268476
5,195.440065495569,94.116993838623,3.04155040328421
6,195.351262997625,90.809320245822,3.20270819930639
7,194.478151603071,88.6984887960164,3.36159710902641
8,193.181990728315,87.3321913766969,3.51526228825492
9,191.678034733905,86.4334988188904,3.66084029149893
10,190.093958801457,85.8304870915644,3.79655312134806
11,188.504706030604,85.4150516350839,3.92149245521118
12,186.952823773103,85.1187296515207,4.03540930030001
13,185.46135011012,84.8979624453054,4.13847813077328
14,184.041440844505,84.7247698550837,4.23116151360483
15,182.696931254598,84.5814178272017,4.31409474211272
16,181.427260638532,84.4565416295762,4.38802376246726
17,180.229990944249,84.343138373389,4.45366101699997
18,179.100724039083,84.2366647282056,4.51180189531563
19,178.034846692671,84.1344939657049,4.56316398473225
20,177.027243055461,84.0350542102522,4.60846055677384
21,176.073155764284,83.9377464145246,4.64825636882547
22,175.147611420181,83.8407040779227,4.68529728751876
23,174.22209242247,83.7436629246582,4.72233546763989
24,173.296573408057,83.6466217715937,4.75937364946705
25,172.37105440016,83.5495806182905,4.79641183061368
26,171.445535443449,83.452539461877,4.83345000631114
27,170.520016609301,83.3554982951484,4.87048816875101
28,169.59449800168,83.258457104237,4.90752630636366
29,168.668979763863,83.1614158658178,4.94456440301797
30,168.140483717999,83.0217552041499,4.93945544421102
31,167.620711432869,82.8965684540232,4.93445826134797
32,167.108977627505,82.7836360726133,4.9300146175344
33,166.606375002441,82.6808784037179,4.92600016102439
34,166.113737861958,82.5864229134366,4.92230300644438
35,165.631662823632,82.4987121620139,4.91883307949452
36,165.160575238266,82.4166418234881,4.91552868518106
37,164.700504109081,82.3391012629614,4.91233463724587
38,164.251289721447,82.2653554348973,4.90921832577817
39,163.808943637143,82.1936878052143,4.90613667519108
40,163.366691127111,82.1220473698235,4.90305544396519
41,162.944799195217,82.0550618855425,4.89999803692028
42,162.537857962079,81.9913498095175,4.89696493495184
43,162.133777761519,81.9282109957395,4.89393675720792
44,161.729697947247,81.8650721928488,4.89090857686862
45,161.353525529136,81.806082280771,4.88785824530173
46,160.985663206756,81.7485544153683,4.8848309323168
47,160.625516200948,81.6922472974226,4.88182137086835
48,160.270214267908,81.6366551256137,4.8788211953237
49,159.927456951207,81.5827922641131,4.87584450652372
50,159.592197428281,81.5300123336406,4.87289076176453
