"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","pH2A_Sgo1_pH3_CPCa","Sum_Active"
0,0,0,0,0,0
1,0,0,2.484777552555e-05,0,2.484777552555e-05
2,0,0,4.18488496539915e-05,0,4.18488496539915e-05
3,0,0,5.34805621552419e-05,0,5.34805621552419e-05
4,0,0,6.1438421387167e-05,0,6.1438421387167e-05
5,0,0,6.68826929894375e-05,0,6.68826929894375e-05
6,0,0,7.06072452342355e-05,0,7.06072452342355e-05
7,0,0,7.31552831953589e-05,0,7.31552831953589e-05
8,0,0,7.4898423232965e-05,0,7.4898423232965e-05
9,0,0,7.60908434165454e-05,0,7.60908434165454e-05
10,0,0,7.69066414002996e-05,0,7.69066414002996e-05
