"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0,0,0
1,0.432523169566052,0,0
2,0.489241786984393,0,0
3,0.493913045316281,0,0
4,0.493029909789411,0,0
5,0.492222332722747,0,0
6,0.491808489643386,0,0
7,0.491618764452225,0,0
8,0.491534523810627,0,0
9,0.491497498676083,0,0
10,0.491481280670949,0,0
