Var1,TCGA_ID,CSNXvalPre,CINscore
1,TCGA_B6_A0RG_01,0.196968567843498,0.187892769231104
2,TCGA_AO_A12F_01,0.189811872406892,0.218280257563809
3,TCGA_D8_A27F_01,0.197789429513847,NaN
4,TCGA_A8_A07O_01,0.231145392372241,0.184130810721322
5,TCGA_D8_A1XQ_01,0.191670307624292,NaN
6,TCGA_D8_A27H_01,0.19501449347581,NaN
7,TCGA_AN_A0AR_01,0.208113967156606,0.207144341952838
8,TCGA_AO_A129_01,0.190002115331907,0.187709492156617
9,TCGA_A8_A07C_01,2295.3925767119,0.234063956909579
10,TCGA_A2_A0YM_01,0.156257709829248,0.225490551905803
11,TCGA_AO_A0J6_01,0.193435939485653,0.211494891957839
12,TCGA_D8_A27M_01,0.176968896820114,NaN
13,TCGA_EW_A1OW_01,0.199377102079893,NaN
14,TCGA_AR_A0TU_01,0.0259743409083626,0.217395615192931
15,TCGA_A2_A0SX_01,0.195076638181177,0.200699039527767
16,TCGA_AN_A0FL_01,0.168062108942635,0.198443296702694
17,TCGA_A7_A26F_01,0.267627583647027,NaN
18,TCGA_A2_A0D2_01,0.151591209541465,0.198893226686067
19,TCGA_B6_A0RT_01,0.172443589278885,0.169654781000655
20,TCGA_BH_A18Q_01,0.166161516795796,0.211950852260589
21,TCGA_B6_A0IQ_01,0.219941915933518,0.199691273448208
22,TCGA_A2_A04P_01,0.189252304377959,0.210704284157334
23,TCGA_BH_A0BL_01,0.480064221846987,0.191979805461463
24,TCGA_A8_A08R_01,0.114770748506857,0.206053277387297
25,TCGA_AR_A0TS_01,0.16440747261484,0.174330099141595
26,TCGA_BH_A18V_01,0.115117244106216,0.222627744339925
27,TCGA_BH_A1FC_01,0.16218627789732,NaN
28,TCGA_E2_A158_01,0.189462835420159,0.197408068983759
29,TCGA_E2_A150_01,0.18887325091967,0.206143067149416
30,TCGA_AN_A0AL_01,0.191540141053963,0.202960328025744
31,TCGA_AO_A0J4_01,0.327940221312758,0.186704128152184
32,TCGA_A2_A0T2_01,0.22849786162854,0.226713653190141
33,TCGA_AR_A1AY_01,0.412112963149468,0.216772888450038
34,TCGA_AO_A128_01,0.212426295933795,0.193793750732078
35,TCGA_D8_A143_01,0.220248413317563,0.221391243197105
36,TCGA_A2_A04U_01,0.252880793077196,0.226749114040596
37,TCGA_D8_A147_01,0.161490176161237,0.215107534462624
38,TCGA_EW_A1PB_01,0.150189333703807,NaN
39,TCGA_C8_A131_01,0.203758248208473,0.180550294305455
40,TCGA_BH_A0WA_01,0.218834417811138,0.220754018391634
41,TCGA_C8_A26X_01,0.161854316676823,NaN
42,TCGA_E2_A1LL_01,0.172062778819537,NaN
43,TCGA_E9_A1ND_01,0.193924215417809,NaN
44,TCGA_AR_A1AI_01,0.213154781571461,0.197392843630475
45,TCGA_A7_A26I_01,0.222051344290634,NaN
46,TCGA_BH_A1EW_01,1.86098678315113,0.181860853675207
47,TCGA_BH_A0RX_01,0.187907677476204,0.166763806139304
48,TCGA_AO_A124_01,0.249642423371711,0.229743079296524
49,TCGA_AR_A256_01,0.237128776645591,NaN
50,TCGA_D8_A13Z_01,0.184369781518797,0.208724859155676
51,TCGA_A2_A0CM_01,0.17553164434787,0.199666165664168
52,TCGA_E2_A1LH_01,0.127820360785378,NaN
53,TCGA_BH_A0E6_01,0.210324905790728,0.189750360157881
54,TCGA_AR_A1AR_01,-1.47989863877319,0.185993784402753
55,TCGA_BH_A0B3_01,0.238527467231734,0.200483131257169
56,TCGA_E2_A14N_01,0.225545223512938,0.179033012081502
57,TCGA_BH_A0BG_01,0.201690654329241,0.207076525222709
58,TCGA_BH_A18T_01,0.145464770822571,0.226091771064034
59,TCGA_AR_A1AQ_01,0.185672007830732,0.20071670902539
60,TCGA_AN_A0XU_01,0.229704632513744,0.221103331773746
61,TCGA_E2_A14R_01,0.243856589664233,0.223518726419327
