 Gene_ID	TCGA-B6-A0RG-01	TCGA-AO-A12F-01	TCGA-D8-A27F-01	TCGA-A8-A07O-01	TCGA-D8-A1XQ-01	TCGA-D8-A27H-01	TCGA-AN-A0AR-01	TCGA-AO-A129-01	TCGA-A8-A07C-01	TCGA-A2-A0YM-01	TCGA-AO-A0J6-01	TCGA-D8-A27M-01	TCGA-EW-A1OW-01	TCGA-AR-A0TU-01	TCGA-A2-A0SX-01	TCGA-AN-A0FL-01	TCGA-A7-A26F-01	TCGA-A2-A0D2-01	TCGA-B6-A0RT-01	TCGA-BH-A18Q-01	TCGA-B6-A0IQ-01	TCGA-A2-A04P-01	TCGA-BH-A0BL-01	TCGA-A8-A08R-01	TCGA-AR-A0TS-01	TCGA-BH-A18V-01	TCGA-BH-A1FC-01	TCGA-E2-A158-01	TCGA-E2-A150-01	TCGA-AN-A0AL-01	TCGA-AO-A0J4-01	TCGA-A2-A0T2-01	TCGA-AR-A1AY-01	TCGA-AO-A128-01	TCGA-D8-A143-01	TCGA-A2-A04U-01	TCGA-D8-A147-01	TCGA-EW-A1PB-01	TCGA-C8-A131-01	TCGA-BH-A0WA-01	TCGA-C8-A26X-01	TCGA-E2-A1LL-01	TCGA-E9-A1ND-01	TCGA-AR-A1AI-01	TCGA-A7-A26I-01	TCGA-BH-A1EW-01	TCGA-BH-A0RX-01	TCGA-AO-A124-01	TCGA-AR-A256-01	TCGA-D8-A13Z-01	TCGA-A2-A0CM-01	TCGA-E2-A1LH-01	TCGA-BH-A0E6-01	TCGA-AR-A1AR-01	TCGA-BH-A0B3-01	TCGA-E2-A14N-01	TCGA-BH-A0BG-01	TCGA-BH-A18T-01	TCGA-AR-A1AQ-01	TCGA-AN-A0XU-01	TCGA-E2-A14R-01	TCGA-AO-A0JL-01	TCGA-A2-A04T-01	TCGA-B6-A0RU-01	TCGA-A2-A0T0-01	TCGA-BH-A0BW-01	TCGA-A2-A0YE-01	TCGA-E2-A1LS-01	TCGA-AO-A0J2-01	TCGA-E9-A22G-01	TCGA-EW-A1P1-01	TCGA-A2-A1G6-01	TCGA-A7-A26G-01	TCGA-B6-A0WX-01	TCGA-B6-A0IK-01	TCGA-EW-A1P4-01	TCGA-A2-A0ST-01	TCGA-E2-A1LG-01	TCGA-E2-A159-01	TCGA-AQ-A04J-01	TCGA-A7-A0DA-01	TCGA-D8-A142-01	TCGA-AN-A04D-01	TCGA-A1-A0SK-01	TCGA-D8-A1JF-01	TCGA-BH-A18G-01	TCGA-B6-A0RE-01	TCGA-C8-A26Y-01	TCGA-BH-A0AV-01	TCGA-C8-A12V-01	TCGA-EW-A1OV-01	TCGA-D8-A1JL-01	TCGA-A2-A0D0-01	TCGA-B6-A0RS-01	TCGA-AN-A0G0-01	TCGA-C8-A1HJ-01	TCGA-AN-A0FX-01	TCGA-B6-A0RN-01	TCGA-A8-A07R-01	TCGA-BH-A1F0-01	TCGA-BH-A0B9-01	TCGA-E2-A1LK-01	TCGA-A2-A04Q-01	TCGA-EW-A1P8-01	TCGA-C8-A134-01	TCGA-E2-A14X-01	TCGA-AR-A0U0-01	TCGA-EW-A1P7-01	TCGA-A1-A0SO-01	TCGA-D8-A1XK-01	TCGA-A7-A0CE-01	TCGA-E2-A1B6-01	TCGA-E2-A1L7-01	TCGA-AN-A0AT-01	TCGA-AR-A0U4-01	TCGA-D8-A1JG-01	TCGA-A1-A0SP-01	TCGA-A8-A09X-01	TCGA-E2-A1AZ-01	TCGA-E2-A1LI-01	TCGA-BH-A0E0-01	TCGA-C8-A27B-01
?|100130426	0	0	0	0	0	0.3561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	8.1811	10.5997	20.9807	4.1896	9.3796	32.1356	12.2586	13.6602	23.7101	28.8549	5.3029	9.415	7.0834	15.414	12.3539	0	13.517	9.8281	1.3511	6.2988	13.3295	1.2241	11.061	23.9718	22.0007	20.0812	21.9287	53.9971	2.4282	4.6176	10.2607	20.3388	13.0137	17.555	4.566	0	17.9756	0	7.3917	13.3993	5.5581	5.0094	0	13.1246	14.9129	9.353	3.2971	13.3305	18.4481	8.3563	19.7115	4.0594	12.229	5.7266	7.4287	18.0076	14.1548	7.6319	5.1291	31.3749	7.071	4.2243	16.6878	0.7913	8.6466	10.4864	23.8942	10.7307	5.7587	18.4343	2.3428	7.8319	1.5634	1.0808	7.3642	1.0744	2.6265	7.9208	10.9617	16.6519	24.1031	3.0863	12.5425	50.5641	2.5364	17.3125	4.3793	16.0899	19.587	1.8127	6.5032	15.7502	2.5659	6.9981	19.9428	22.7136	5.4418	2.6443	41.3866	6.6244	21.4689	6.3797	1.1801	5.9391	12.7361	12.0202	5.5616	7.6118	12.5687	37.2521	11.0789	9.4801	9.3461	16.5264	14.4864	16.312	11.7293	5.1371	6.7667	25.7272	4.8507	8.9689
?|100134869	6.0469	14.2407	12.0512	5.6788	14.9496	17.8516	8.2986	5.2587	8.7367	22.3877	2.3565	8.1342	9.2334	3.9944	5.6294	2.3031	5.0877	9.392	5.643	14.8809	2.2676	3.444	9.912	13.0539	17.2921	14.7187	3.3748	40.2536	0	3.8366	12.9374	5.9652	10.868	7.9539	1.1084	0.5195	8.1878	6.7771	13.3013	11.5726	4.0882	4.2033	3.998	11.0415	5.834	1.4306	4.3483	13.0098	5.5182	5.139	3.826	12.1474	0.8551	2.1824	7.16	4.3288	12.2441	19.6034	2.6188	22.3811	18.1497	9.8362	23.9972	8.789	4.4593	21.5696	20.7826	8.7888	2.7896	15.1504	1.714	5.1768	5.2815	7.6415	4.1965	2.7221	5.501	11.121	6.5399	20.4792	29.1098	7.8035	10.4924	28.856	1.5218	0.8125	6.4242	10.5278	6.2693	5.8921	2.9905	4.5395	1.5527	0.5777	10.54	38.9111	9.2313	5.5805	18.9376	4.1295	35.4053	5.9454	3.8334	2.6631	16.277	14.4417	5.0059	3.9776	21.4958	11.6245	3.4986	13.2776	6.1822	7.9764	23.3013	5.9375	9.4309	2.7279	7.4869	10.03	10.9933	7.2148
?|10357	125.7651	147.1816	69.6594	89.0879	133.5442	98.0296	245.0203	128.2664	204.7819	86.497	98.8064	80.4495	113.0654	94.2964	151.5928	165.5504	185.3739	177.6492	139.4627	118.3819	216.8241	244.2064	117.5797	150.3366	105.3405	196.7918	101.2784	67.6206	87.6811	302.0934	170.9515	128.2568	117.6633	86.483	124.11	411.4041	66.1463	109.9378	225.8614	77.2143	83.6013	77.0577	88.3304	223.9653	92.4869	108.3393	200.2485	114.0849	121.1628	100.8124	238.3801	126.3207	235.0374	68.4627	147.6226	162.7919	122.7612	142.8834	210.2221	183.7836	208.896	62.6913	232.6558	171.5181	195.2648	75.6595	151.7269	136.1011	393.3979	171.7235	75.4919	83.8159	102.706	65.6409	80.9249	130.9719	148.8525	505.2826	93.7227	235.1761	103.8487	99.3227	365.4881	1119.1932	131.4443	128.6562	80.7601	84.626	75.4097	107.056	85.0844	142.568	234.9835	204.6086	123.7576	340.1155	124.5136	162.1547	227.6861	109.059	357.8974	70.3413	185.5958	126.6703	146.7641	142.6749	60.7006	73.9611	383.9288	177.0226	130.289	138.3311	255.999	278.0513	84.9296	61.7735	190.5983	91.781	171.2228	213.9814	92.8397	208.3268
?|10431	1381.1291	2210.4636	1423.3507	1199.1627	1130.8766	830.951	1807.9524	1828.9575	1884.5745	862.2898	1466.522	625.3079	716.9766	2631.0847	840.7193	1350.0691	998.9267	1826.2798	795.422	878.958	1307.4591	3071.5768	1348.0489	1228.8862	345.1212	1217.3337	976.5355	1059.7207	1054.2291	1497.182	891.2115	3062.8622	598.1446	1082.768	1307.3762	4388.1024	1708.3324	1960.8476	1362.3677	725.8938	1567.2944	1241.3992	897.047	1261.7427	1435.408	948.5981	2368.6537	1696.3711	873.7333	1430.4993	1431.6372	1411.5377	3162.6168	1469.8468	998.1764	1474.6466	1304.8602	2273.6966	889.4628	797.0365	1913.5618	1692.7575	758.0631	670.6164	1653.3096	467.944	721.7997	1211.7117	2396.3528	1708.4661	835.6998	775.1835	1307.645	1584.0435	1167.052	1260.82	956.4752	941.0319	771.1403	1788.9559	505.0201	1324.5684	1681.2554	1091.7113	1194.2894	1849.375	1202.6623	946.3056	1282.7401	744.5255	1402.9536	1291.6947	1345.5519	1934.6591	848.8312	1791.3165	880.7018	1027.2691	1578.3313	909.9903	1679.3551	2056.5372	1706.1319	1707.5269	1839.263	997.8156	1190.2153	514.0728	669.9357	1479.8724	1272.9892	1974.3418	955.9626	1771.1156	1076.9495	597.3744	668.3692	965.7456	1579.895	2202.2236	1728.2145	1222.3962
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	157.0158	286.5164	168.9501	59.8086	140.5367	162.6295	505.2745	168.3398	63.5638	86.5824	111.0615	150.5542	210.6779	128.9717	156.0694	45.1405	205.3667	164.8494	162.4543	110.9817	242.3553	329.8755	214.5936	182.0685	112.3117	60.6513	70.6142	465.0844	110.0769	34.6216	122.3631	99.4204	204.2803	241.791	50.6911	78.9713	136.1836	157.8102	185.2743	77.3101	68.4428	49.5178	74.9621	105.8543	205.5325	106.7577	80.755	88.1827	60.3595	117.6788	125.9952	178.2751	155.6075	96.8858	109.7994	104.5342	177.5641	113.1311	107.9545	84.0799	194.4285	1042.9196	165.8698	58.9007	107.4684	78.1135	209.7592	99.5996	64.9665	228.5625	107.5051	213.4757	52.2948	135.3851	126.0116	111.6173	134.3172	91.2162	158.2284	84.735	209.5047	154.5817	238.1227	166.7192	120.0087	77.5	101.4758	191.2192	35.2586	88.8078	171.4135	76.0252	118.2043	112.3737	98.1901	48.6695	512.2807	107.744	55.2221	118.5074	235.7815	428.4452	354.8014	164.5161	194.1974	239.4059	125.636	153.1457	143.0169	94.7661	219.0016	235.6091	186.8252	67.1663	48.7805	154.712	140.0949	168.0637	276.069	148.4375	239.4881	56.6432
?|26823	0	1.7014	0	0.5981	0	0	0	1.5444	0.266	0	0	0.9236	0	0.6261	0.3211	0.4606	0.477	0	1.9075	0	0	0.5187	0.304	0	1.3098	0	0	1.0282	0	1.2077	0	0.8917	0	0.2714	0	0	0.6709	0.6454	0.4812	0.3421	0.9187	0	0.9995	0.3404	0.2766	0.7189	0	0	0.5918	0.2699	0	0	0	0.2472	0.7678	0	0.6285	0.2993	0	0	0.4586	0	0.3477	0.7096	0	0.3685	0.3169	0.5005	0.5699	0.6219	0	1.0007	0	0	0	0	1.2833	0.6143	0	0.3174	0	0.7968	0	0.3152	0.5798	0	0	1.5298	0.3358	0.4055	0	0.7334	0	0	0.2931	0	0	0.4112	0	0.4302	0.2239	0	0.3857	0.7168	0	0	0.7828	0.4139	1.0814	0	1.017	0.2231	0	0	0	0.7761	0	4.1395	0.7502	0.3005	0	0.7831
?|280660	0	0	0	0.299	0	0	0.3607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	9.1913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
