Row	TCGA_AO_A12F_01	TCGA_B6_A0I6_01	TCGA_A8_A07O_01	TCGA_C8_A12K_01	TCGA_BH_A0DL_01	TCGA_AN_A0AR_01	TCGA_AO_A129_01	TCGA_A8_A07C_01	TCGA_A2_A0YM_01	TCGA_BH_A0HL_01	TCGA_AO_A0J6_01	TCGA_AR_A0TU_01	TCGA_A2_A0SX_01	TCGA_AN_A0FL_01	TCGA_A2_A0D2_01	TCGA_B6_A0RT_01	TCGA_BH_A18Q_01	TCGA_B6_A0IQ_01	TCGA_A2_A0YJ_01	TCGA_A2_A04P_01	TCGA_BH_A0BL_01	TCGA_A8_A08R_01	TCGA_A7_A13D_01	TCGA_AR_A0TS_01	TCGA_E2_A14Y_01	TCGA_BH_A18V_01	TCGA_E2_A158_01	TCGA_E2_A150_01	TCGA_AN_A0AL_01	TCGA_AO_A0J4_01	TCGA_A2_A0T2_01	TCGA_AR_A1AY_01	TCGA_AO_A128_01	TCGA_D8_A143_01	TCGA_A2_A04U_01	TCGA_D8_A147_01	TCGA_C8_A131_01	TCGA_BH_A0WA_01	TCGA_AR_A1AI_01	TCGA_BH_A0RX_01	TCGA_AO_A124_01	TCGA_A2_A0CM_01	TCGA_BH_A0E6_01	TCGA_AR_A1AR_01	TCGA_BH_A0B3_01	TCGA_E2_A14N_01	TCGA_BH_A0HN_01	TCGA_BH_A0BG_01	TCGA_B6_A0I2_01	TCGA_AR_A1AQ_01	TCGA_AN_A0XU_01	TCGA_E2_A14R_01	TCGA_A8_A07U_01	TCGA_BH_A18K_01	TCGA_AO_A0JL_01	TCGA_A2_A04T_01	TCGA_B6_A0RU_01	TCGA_A2_A0T0_01	TCGA_BH_A0BW_01	TCGA_A2_A0YE_01	TCGA_B6_A0X1_01	TCGA_B6_A0WX_01	TCGA_A2_A0ST_01	TCGA_E2_A159_01	TCGA_AQ_A04J_01	TCGA_AR_A1AJ_01	TCGA_A8_A08H_01	TCGA_A7_A0DA_01	TCGA_D8_A142_01	TCGA_AN_A04D_01	TCGA_E2_A1B5_01	TCGA_A1_A0SK_01	TCGA_BH_A18G_01	TCGA_B6_A0RE_01	TCGA_BH_A0AV_01	TCGA_C8_A12V_01	TCGA_A7_A13E_01	TCGA_A2_A0D0_01	TCGA_AN_A0G0_01	TCGA_AN_A0FX_01	TCGA_A8_A07R_01	TCGA_BH_A1F0_01	TCGA_BH_A0B9_01	TCGA_AN_A0FJ_01	TCGA_A2_A04Q_01	TCGA_C8_A134_01	TCGA_E2_A14X_01	TCGA_AR_A0U0_01	TCGA_A1_A0SO_01	TCGA_A7_A0CE_01	TCGA_AN_A0AT_01	TCGA_AR_A0U4_01	TCGA_B6_A0IJ_01	TCGA_AR_A0TP_01	TCGA_E2_A1AZ_01	TCGA_BH_A0E0_01	TCGA_AR_A1AH_01
?|100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	10.5997	30.9465	4.1896	17.2116	24.8023	12.2586	13.6602	23.7101	28.8549	12.0534	5.3029	15.414	12.3539	0	9.8281	1.3511	6.2988	13.3295	5.7893	1.2241	11.061	23.9718	8.3152	22.0007	6.1461	20.0812	53.9971	2.4282	4.6176	10.2607	20.3388	13.0137	17.555	4.566	0	17.9756	7.3917	13.3993	13.1246	3.2971	13.3305	19.7115	12.229	5.7266	7.4287	18.0076	7.347	14.1548	1.876	5.1291	31.3749	7.071	17.0568	10.564	4.2243	16.6878	0.7913	8.6466	10.4864	23.8942	22.3943	1.0808	2.6265	10.9617	16.6519	9.3829	2.5482	24.1031	3.0863	12.5425	2.2834	50.5641	17.3125	4.3793	19.587	1.8127	4.266	2.5659	19.9428	5.4418	41.3866	6.6244	21.4689	7.0528	1.1801	12.7361	12.0202	5.5616	12.5687	11.0789	16.5264	14.4864	3.1673	30.3657	6.7667	4.8507	18.1003
?|100134869	14.2407	12.2967	5.6788	8.0814	14.4194	8.2986	5.2587	8.7367	22.3877	7.7604	2.3565	3.9944	5.6294	2.3031	9.392	5.643	14.8809	2.2676	7.6363	3.444	9.912	13.0539	3.8712	17.2921	3.9121	14.7187	40.2536	0	3.8366	12.9374	5.9652	10.868	7.9539	1.1084	0.5195	8.1878	13.3013	11.5726	11.0415	4.3483	13.0098	3.826	0.8551	2.1824	7.16	4.3288	3.4214	12.2441	8.947	2.6188	22.3811	18.1497	6.9387	5.3723	9.8362	23.9972	8.789	4.4593	21.5696	20.7826	9.1317	7.6415	5.501	6.5399	20.4792	8.4083	4.5796	29.1098	7.8035	10.4924	1.5578	28.856	0.8125	6.4242	6.2693	5.8921	4.2746	1.5527	10.54	9.2313	18.9376	4.1295	35.4053	7.3529	3.8334	16.277	14.4417	5.0059	21.4958	3.4986	7.9764	23.3013	4.6808	36.2527	7.4869	10.9933	7.7237
?|10357	147.1816	144.9247	89.0879	232.6496	69.3267	245.0203	128.2664	204.7819	86.497	91.6512	98.8064	94.2964	151.5928	165.5504	177.6492	139.4627	118.3819	216.8241	154.4711	244.2064	117.5797	150.3366	105.1244	105.3405	140.7147	196.7918	67.6206	87.6811	302.0934	170.9515	128.2568	117.6633	86.483	124.11	411.4041	66.1463	225.8614	77.2143	223.9653	200.2485	114.0849	238.3801	235.0374	68.4627	147.6226	162.7919	109.207	122.7612	112.6494	210.2221	183.7836	208.896	127.2883	116.7915	62.6913	232.6558	171.5181	195.2648	75.6595	151.7269	62.3019	65.6409	148.8525	93.7227	235.1761	82.9612	135.4227	103.8487	99.3227	365.4881	95.6039	1119.1932	128.6562	80.7601	75.4097	107.056	80.2221	234.9835	123.7576	124.5136	227.6861	109.059	357.8974	106.1525	185.5958	146.7641	142.6749	60.7006	383.9288	130.289	278.0513	84.9296	168.19	105.8943	171.2228	92.8397	126.1252
?|10431	2210.4636	902.1277	1199.1627	1107.6496	805.1266	1807.9524	1828.9575	1884.5745	862.2898	690.4833	1466.522	2631.0847	840.7193	1350.0691	1826.2798	795.422	878.958	1307.4591	1065.0936	3071.5768	1348.0489	1228.8862	1385.1935	345.1212	1195.3415	1217.3337	1059.7207	1054.2291	1497.182	891.2115	3062.8622	598.1446	1082.768	1307.3762	4388.1024	1708.3324	1362.3677	725.8938	1261.7427	2368.6537	1696.3711	1431.6372	3162.6168	1469.8468	998.1764	1474.6466	1078.3162	1304.8602	868.5457	889.4628	797.0365	1913.5618	1838.858	1471.0934	1692.7575	758.0631	670.6164	1653.3096	467.944	721.7997	946.8678	1584.0435	956.4752	771.1403	1788.9559	1669.6657	922.5972	505.0201	1324.5684	1681.2554	1267.1788	1091.7113	1849.375	1202.6623	1282.7401	744.5255	2202.6262	1345.5519	848.8312	880.7018	1578.3313	909.9903	1679.3551	1012.0048	1706.1319	1839.263	997.8156	1190.2153	669.9357	1272.9892	1771.1156	1076.9495	1989.2089	703.1137	1579.895	1728.2145	2325.5034
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	286.5164	158.2519	59.8086	83.5904	83.076	505.2745	168.3398	63.5638	86.5824	314.0198	111.0615	128.9717	156.0694	45.1405	164.8494	162.4543	110.9817	242.3553	88.2832	329.8755	214.5936	182.0685	167.3606	112.3117	35.4685	60.6513	465.0844	110.0769	34.6216	122.3631	99.4204	204.2803	241.791	50.6911	78.9713	136.1836	185.2743	77.3101	105.8543	80.755	88.1827	125.9952	155.6075	96.8858	109.7994	104.5342	615.2717	177.5641	237.2041	107.9545	84.0799	194.4285	107.9799	157.5919	1042.9196	165.8698	58.9007	107.4684	78.1135	209.7592	182.09	135.3851	134.3172	158.2284	84.735	114.4825	111.371	209.5047	154.5817	238.1227	74.2638	166.7192	77.5	101.4758	35.2586	88.8078	290.8082	118.2043	98.1901	512.2807	55.2221	118.5074	235.7815	117.6471	354.8014	194.1974	239.4059	125.636	143.0169	219.0016	67.1663	48.7805	67.2693	230.63	276.069	239.4881	157.6271
?|26823	1.7014	0.46	0.5981	0	0	0	1.5444	0.266	0	0.6004	0	0.6261	0.3211	0.4606	0	1.9075	0	0	0	0.5187	0.304	0	0.8124	1.3098	0	0	1.0282	0	1.2077	0	0.8917	0	0.2714	0	0	0.6709	0.4812	0.3421	0.3404	0	0	0	0	0.2472	0.7678	0	1.4684	0.6285	0	0	0	0.4586	0.7999	0.3541	0	0.3477	0.7096	0	0.3685	0.3169	0.5436	0	1.2833	0	0.3174	0.3868	0	0	0.7968	0	0	0.3152	0	0	0.3358	0.4055	0	0	0.2931	0	0	0.4302	0.2239	0.6002	0.3857	0	0	0.7828	1.0814	1.017	0	0	0.2803	0.3621	0.7502	0	0.3354
?|280660	0	0	0.299	0	0	0.3607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3621	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	9.1913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
