"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0.127296200133,0,0
1,0.0468272341139185,0,0
2,0.0172239055020455,0,0
3,0.00633442341616992,0,0
4,0.00232923789952273,0,0
5,0.000856328249757308,0,0
6,0.000314749988298733,0,0
7,0.000115655986285033,0,0
8,4.24939295115801e-05,0,0
9,1.56016918368538e-05,0,0
10,5.72408182449832e-06,0,0
11,2.11050666195207e-06,0,0
12,7.75526253856582e-07,0,0
13,2.95778475242412e-07,0,0
14,1.07875116555953e-07,0,0
15,3.81743939257133e-08,0,0
16,1.30933397382583e-08,0,0
17,7.05323759416256e-09,0,0
18,2.75750814794093e-09,0,0
19,1.45687274217976e-09,0,0
20,2.88832459636833e-10,0,0
21,1.25980947184002e-10,0,0
22,0,0,0
23,1.33017257617661e-11,0,0
24,7.74693329600695e-12,0,0
25,1.93254715282059e-12,0,0
26,7.62348195493187e-13,0,0
27,2.2371245648129e-13,0,0
28,8.17279006910637e-14,0,0
29,2.5885149371697e-14,0,0
30,1.19733507248529e-15,0,0
31,3.22409848810346e-15,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
