"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0.117504184738154,0,0
1,0.0432251391820786,0,0
2,0.0158989896941959,0,0
3,0.00584716007646454,0,0
4,0.0021500657534056,0,0
5,0.000790456845929823,0,0
6,0.000290538450737292,0,0
7,0.000106759371955415,0,0
8,3.92251657029969e-05,0,0
9,1.44015616955709e-05,0,0
10,5.28376783811014e-06,0,0
11,1.94815999670267e-06,0,0
12,7.15870387574997e-07,0,0
13,2.73026275552148e-07,0,0
14,9.95770324061927e-08,0,0
15,3.52379650763481e-08,0,0
16,1.20862242878516e-08,0,0
17,6.51058981463674e-09,0,0
18,2.54534951905027e-09,0,0
19,1.34476723104214e-09,0,0
20,2.66612189624015e-10,0,0
21,1.16288073813178e-10,0,0
22,0,0,0
23,1.22784127435501e-11,0,0
24,7.15083595455537e-12,0,0
25,1.78386756825599e-12,0,0
26,7.03694638408318e-13,0,0
27,2.06502182346812e-13,0,0
28,7.5440414077766e-14,0,0
29,2.38938454484336e-14,0,0
30,1.10553192265177e-15,0,0
31,2.97606750926294e-15,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
