	SL27418 (norm counts)	SL27418 (RPKM)
1/2-SBSRNA4	11.29198181	0.34678036
A1BG	76.09813827	1.268200322
A1BG-AS1	14.72867192	0.202970549
A1CF	0	0
A2LD1	126.1756228	1.385550405
A2M	0	0
A2ML1	648.5525203	4.260327548
A2MP1	0	0
A4GALT	3218.214815	45.13456775
A4GNT	0.981911462	0.016271319
AA06	0	0
AAA1	0.490955731	0.003057141
AAAS	2391.445365	39.53934254
AACS	1742.892844	15.45947748
AACSP1	5.400513038	0.073048157
AADAC	0	0
AADACL2	0	0
AADACL3	0	0
AADACL4	0	0
AADAT	288.6819697	3.838303418
AAGAB	1930.437933	19.94965904
AAK1	810.5679115	1.117908493
AAMP	5289.557043	86.9649603
AANAT	4.909557308	0.098250316
AARS	5679.866849	50.07725459
AARS2	1221.988814	7.521301105
AARSD1	1122.324801	17.36544625
AASDH	380.4906913	3.143677616
AASDHPPT	3916.84482	40.19415944
AASS	342.1961443	1.714646968
AATF	4539.376687	62.4673754
AATK	94.26350031	0.532478256
AATK-AS1	0	0
ABAT	44.18601577	0.264625135
ABCA1	8.837203154	0.024771262
ABCA10	219.4572117	1.022028177
ABCA11P	119.3022426	1.847396741
ABCA12	2817.594939	9.662186867
ABCA13	0	0
ABCA17P	15.21962765	0.106904635
ABCA2	1987.388798	7.187484203
ABCA3	85.42629715	0.379785925
ABCA4	0	0
ABCA5	174.7802402	0.590310595
ABCA6	417.3123712	2.325712249
ABCA7	585.7101868	2.534327064
ABCA8	0.490955731	0.002531476
ABCA9	7.855291692	0.036752082
ABCB1	0.490955731	0.003068881
ABCB10	3873.640716	29.52355534
ABCB11	0	0
ABCB4	1.963822923	0.014606597
ABCB5	0	0
ABCB6	889.1208284	8.68594382
ABCB7	1512.143651	18.68504698
ABCB8	3394.958878	21.31225555
ABCB9	94.26350031	0.829338882
ABCC1	3545.682288	16.34363396
ABCC10	1132.634871	6.587955777
ABCC11	5.400513038	0.034804731
ABCC12	0	0
ABCC13	0	0
ABCC2	578.3458508	3.376005351
ABCC3	1090.903634	9.121263218
ABCC4	1735.037553	11.48238368
ABCC5	882.7384039	6.649223683
ABCC6	1.963822923	0.019832949
ABCC6P1	0	0
ABCC6P2	0.490955731	0.0204316
ABCC8	0	0
ABCC9	0.490955731	0.002226946
ABCD1	93.77254458	0.751864978
ABCD2	6.873380231	0.037774123
ABCD3	3046.380309	39.222925
ABCD4	426.64053	4.065559399
ABCE1	8180.304386	57.41134168
ABCF1	4603.200932	39.87668309
ABCF2	7375.627943	74.95266107
ABCF3	1969.714392	22.62171347
ABCG1	335.8137198	3.321029812
ABCG2	17.18345058	0.114028226
ABCG4	3.927645846	0.031033109
ABCG5	0	0
ABCG8	0	0
ABHD1	2.945734385	0.060057813
ABHD10	1340.800101	14.88529142
ABHD11	1104.159438	22.21790533
ABHD11-AS1	14.72867192	0.920075452
ABHD12	1803.280399	27.65342434
ABHD12B	15.71058338	0.291226244
ABHD13	838.0614324	4.632684058
ABHD14A	118.3203311	3.142798677
ABHD14A-ACY1	0	0
ABHD14B	907.7771462	11.87839735
ABHD15	434.9867775	3.800801598
ABHD16A	827.7513621	11.75244233
ABHD16B	78.55291692	1.296572054
ABHD2	3086.638679	10.1368951
ABHD3	404.0565664	5.760537929
ABHD4	172.8164172	2.023626647
ABHD5	1096.795103	6.010758038
ABHD6	227.8034591	2.799540541
ABHD8	180.1807532	2.531832885
ABI1	2552.478844	21.09198041
ABI2	1203.332496	5.448965549
ABI3	0.981911462	0.013751287
ABI3BP	4.418601577	0.029169585
ABL1	3976.741419	20.71826344
ABL2	1966.277702	4.851549953
ABLIM1	8419.890783	32.56325824
ABLIM2	10.31007035	0.08667454
ABLIM3	6673.561248	45.35365849
ABO	0.490955731	0.009150029
