,depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_6,lineage_4,H2AC1,Protein,rna_counts
56,ACH-001086,HELA,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,NA,0,PLK1,7.0582082
57,ACH-001086,HELA,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,NA,0,BUB1,5.134147
58,ACH-001086,HELA,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,NA,0,KAT5,5.066679
59,ACH-001086,HELA,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,NA,0,HASPIN,3.24712698
60,ACH-001086,HELA,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,NA,0,AURKB,6.86643821
61,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,NDC80,4.0045553
62,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,BIRC5,4.01029647
63,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,TTK,3.5889604
64,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,SGO1,2.05650723
65,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,CDCA8,3.9974279
66,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,KNL1,2.995974681
67,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,INCENP,3.7953098
68,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,PLK1,4.9231682
69,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,BUB1,4.4361085
70,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,KAT5,4.807056
71,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,HASPIN,1.7687941
72,ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,NA,0,AURKB,5.51238809
73,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,NDC80,6.7470785
74,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,BIRC5,6.90773192
75,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,TTK,5.8499042
76,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,SGO1,3.36081514
77,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,CDCA8,6.6452621
78,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,KNL1,4.162032751
79,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,INCENP,5.0699427
80,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,PLK1,6.8461924
81,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,BUB1,5.791637
82,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,KAT5,5.882919
83,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,HASPIN,2.91781553
84,ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal A TNBC,NA,0,AURKB,6.18364729
85,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,NDC80,5.3293102
86,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BIRC5,5.7171006
87,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,TTK,3.9708169
88,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,SGO1,2.94755021
89,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,CDCA8,4.5234616
90,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KNL1,2.893317551
